epoca,error,norma_W1,norma_W2
144.000000,2.735714,0.593171,5.667153
145.000000,2.699163,0.593498,5.681803
146.000000,2.663390,0.593824,5.696293
147.000000,2.628375,0.594149,5.710627
148.000000,2.594096,0.594472,5.724807
149.000000,2.560533,0.594794,5.738835
150.000000,2.527666,0.595114,5.752716
151.000000,2.495476,0.595434,5.766450
152.000000,2.463945,0.595751,5.780041
153.000000,2.433054,0.596068,5.793491
154.000000,2.402787,0.596383,5.806802
155.000000,2.373127,0.596697,5.819977
156.000000,2.344058,0.597010,5.833017
157.000000,2.315564,0.597321,5.845926
158.000000,2.287631,0.597631,5.858705
159.000000,2.260243,0.597940,5.871357
160.000000,2.233386,0.598247,5.883883
161.000000,2.207048,0.598554,5.896286
162.000000,2.181214,0.598859,5.908567
163.000000,2.155872,0.599163,5.920729
164.000000,2.131010,0.599466,5.932774
165.000000,2.106614,0.599768,5.944702
166.000000,2.082675,0.600068,5.956517
167.000000,2.059180,0.600367,5.968220
168.000000,2.036118,0.600666,5.979813
169.000000,2.013479,0.600963,5.991297
170.000000,1.991252,0.601259,6.002674
171.000000,1.969428,0.601554,6.013946
172.000000,1.947996,0.601848,6.025115
173.000000,1.926948,0.602140,6.036181
174.000000,1.906274,0.602432,6.047147
175.000000,1.885965,0.602722,6.058014
176.000000,1.866013,0.603012,6.068784
177.000000,1.846410,0.603300,6.079458
178.000000,1.827146,0.603588,6.090037
179.000000,1.808214,0.603874,6.100523
180.000000,1.789608,0.604160,6.110918
181.000000,1.771318,0.604444,6.121222
182.000000,1.753338,0.604727,6.131437
183.000000,1.735661,0.605010,6.141564
184.000000,1.718280,0.605291,6.151605
185.000000,1.701189,0.605572,6.161561
186.000000,1.684380,0.605851,6.171432
187.000000,1.667848,0.606129,6.181221
188.000000,1.651587,0.606407,6.190928
189.000000,1.635590,0.606683,6.200555
190.000000,1.619852,0.606959,6.210102
191.000000,1.604367,0.607233,6.219571
192.000000,1.589130,0.607507,6.228963
193.000000,1.574135,0.607780,6.238279
194.000000,1.559377,0.608052,6.247520
195.000000,1.544851,0.608322,6.256688
196.000000,1.530552,0.608592,6.265782
197.000000,1.516476,0.608861,6.274804
198.000000,1.502617,0.609130,6.283755
199.000000,1.488972,0.609397,6.292636
200.000000,1.475535,0.609663,6.301448
201.000000,1.462302,0.609928,6.310192
202.000000,1.449270,0.610193,6.318869
203.000000,1.436434,0.610457,6.327479
204.000000,1.423790,0.610719,6.336024
205.000000,1.411334,0.610981,6.344504
206.000000,1.399062,0.611242,6.352921
207.000000,1.386971,0.611502,6.361274
208.000000,1.375057,0.611762,6.369566
209.000000,1.363317,0.612020,6.377796
210.000000,1.351747,0.612278,6.385965
211.000000,1.340343,0.612534,6.394075
212.000000,1.329104,0.612790,6.402126
213.000000,1.318024,0.613045,6.410118
214.000000,1.307102,0.613299,6.418053
215.000000,1.296333,0.613553,6.425931
216.000000,1.285716,0.613805,6.433753
217.000000,1.275248,0.614057,6.441520
218.000000,1.264925,0.614308,6.449232
219.000000,1.254744,0.614558,6.456889
220.000000,1.244704,0.614807,6.464494
221.000000,1.234800,0.615056,6.472046
222.000000,1.225032,0.615303,6.479545
223.000000,1.215396,0.615550,6.486993
224.000000,1.205890,0.615796,6.494391
225.000000,1.196512,0.616042,6.501738
226.000000,1.187258,0.616286,6.509035
227.000000,1.178128,0.616530,6.516284
228.000000,1.169118,0.616773,6.523484
229.000000,1.160226,0.617015,6.530636
230.000000,1.151451,0.617256,6.537740
231.000000,1.142790,0.617497,6.544798
232.000000,1.134242,0.617736,6.551810
233.000000,1.125803,0.617975,6.558776
234.000000,1.117473,0.618214,6.565697
235.000000,1.109249,0.618451,6.572573
236.000000,1.101129,0.618688,6.579405
237.000000,1.093112,0.618924,6.586193
238.000000,1.085196,0.619159,6.592938
239.000000,1.077379,0.619394,6.599641
240.000000,1.069660,0.619627,6.606301
241.000000,1.062036,0.619860,6.612919
242.000000,1.054506,0.620093,6.619497
243.000000,1.047069,0.620324,6.626033
244.000000,1.039723,0.620555,6.632529
245.000000,1.032466,0.620785,6.638985
246.000000,1.025297,0.621015,6.645402
247.000000,1.018214,0.621243,6.651780
248.000000,1.011217,0.621471,6.658119
249.000000,1.004303,0.621698,6.664419
250.000000,0.997471,0.621925,6.670682
251.000000,0.990720,0.622151,6.676908
252.000000,0.984049,0.622376,6.683097
253.000000,0.977456,0.622600,6.689249
254.000000,0.970940,0.622824,6.695365
255.000000,0.964499,0.623047,6.701444
256.000000,0.958133,0.623269,6.707489
257.000000,0.951841,0.623491,6.713498
258.000000,0.945620,0.623712,6.719473
259.000000,0.939471,0.623932,6.725413
260.000000,0.933391,0.624152,6.731320
261.000000,0.927381,0.624371,6.737192
262.000000,0.921438,0.624589,6.743031
263.000000,0.915561,0.624806,6.748838
264.000000,0.909750,0.625023,6.754611
265.000000,0.904004,0.625239,6.760353
266.000000,0.898321,0.625455,6.766062
267.000000,0.892701,0.625670,6.771740
268.000000,0.887143,0.625884,6.777386
269.000000,0.881645,0.626098,6.783001
270.000000,0.876208,0.626311,6.788586
271.000000,0.870829,0.626523,6.794140
272.000000,0.865508,0.626735,6.799664
273.000000,0.860244,0.626946,6.805158
274.000000,0.855036,0.627156,6.810623
275.000000,0.849884,0.627366,6.816058
276.000000,0.844787,0.627575,6.821464
277.000000,0.839743,0.627783,6.826842
278.000000,0.834752,0.627991,6.832191
279.000000,0.829814,0.628198,6.837512
280.000000,0.824927,0.628405,6.842805
281.000000,0.820091,0.628611,6.848070
282.000000,0.815304,0.628816,6.853309
283.000000,0.810567,0.629021,6.858520
284.000000,0.805879,0.629225,6.863704
285.000000,0.801239,0.629429,6.868861
286.000000,0.796645,0.629632,6.873992
287.000000,0.792099,0.629834,6.879097
288.000000,0.787598,0.630036,6.884177
289.000000,0.783142,0.630237,6.889230
290.000000,0.778731,0.630437,6.894258
291.000000,0.774364,0.630637,6.899261
292.000000,0.770040,0.630837,6.904239
293.000000,0.765759,0.631035,6.909193
294.000000,0.761520,0.631234,6.914122
295.000000,0.757323,0.631431,6.919026
296.000000,0.753166,0.631628,6.923907
297.000000,0.749050,0.631825,6.928763
298.000000,0.744974,0.632020,6.933596
299.000000,0.740938,0.632216,6.938406
300.000000,0.736940,0.632410,6.943192
301.000000,0.732980,0.632605,6.947956
302.000000,0.729058,0.632798,6.952696
303.000000,0.725174,0.632991,6.957414
304.000000,0.721326,0.633184,6.962110
305.000000,0.717515,0.633376,6.966783
306.000000,0.713739,0.633567,6.971435
307.000000,0.709999,0.633758,6.976064
308.000000,0.706293,0.633948,6.980672
309.000000,0.702622,0.634138,6.985258
310.000000,0.698985,0.634327,6.989824
311.000000,0.695382,0.634516,6.994368
312.000000,0.691811,0.634704,6.998891
313.000000,0.688274,0.634891,7.003393
314.000000,0.684768,0.635078,7.007875
315.000000,0.681294,0.635265,7.012336
316.000000,0.677852,0.635451,7.016777
317.000000,0.674441,0.635636,7.021198
318.000000,0.671060,0.635821,7.025599
319.000000,0.667710,0.636005,7.029981
320.000000,0.664389,0.636189,7.034343
321.000000,0.661098,0.636373,7.038685
322.000000,0.657836,0.636556,7.043008
323.000000,0.654603,0.636738,7.047312
324.000000,0.651398,0.636920,7.051597
325.000000,0.648222,0.637101,7.055864
326.000000,0.645073,0.637282,7.060111
327.000000,0.641951,0.637462,7.064341
328.000000,0.638856,0.637642,7.068552
329.000000,0.635789,0.637821,7.072744
330.000000,0.632747,0.638000,7.076919
331.000000,0.629732,0.638178,7.081076
332.000000,0.626742,0.638356,7.085215
333.000000,0.623777,0.638534,7.089336
334.000000,0.620838,0.638710,7.093440
335.000000,0.617924,0.638887,7.097526
336.000000,0.615034,0.639063,7.101595
337.000000,0.612168,0.639238,7.105648
338.000000,0.609327,0.639413,7.109683
339.000000,0.606509,0.639587,7.113701
340.000000,0.603714,0.639761,7.117703
341.000000,0.600943,0.639935,7.121688
342.000000,0.598194,0.640108,7.125657
343.000000,0.595468,0.640280,7.129609
344.000000,0.592764,0.640452,7.133545
345.000000,0.590082,0.640624,7.137465
346.000000,0.587422,0.640795,7.141370
347.000000,0.584784,0.640966,7.145258
348.000000,0.582167,0.641136,7.149131
349.000000,0.579571,0.641306,7.152988
350.000000,0.576996,0.641475,7.156829
351.000000,0.574441,0.641644,7.160655
352.000000,0.571907,0.641813,7.164466
353.000000,0.569393,0.641981,7.168262
354.000000,0.566899,0.642148,7.172043
355.000000,0.564424,0.642315,7.175809
356.000000,0.561969,0.642482,7.179560
357.000000,0.559533,0.642648,7.183296
358.000000,0.557116,0.642814,7.187018
359.000000,0.554718,0.642979,7.190725
360.000000,0.552339,0.643144,7.194418
361.000000,0.549978,0.643309,7.198097
362.000000,0.547635,0.643473,7.201761
363.000000,0.545310,0.643636,7.205411
364.000000,0.543003,0.643799,7.209048
365.000000,0.540714,0.643962,7.212670
366.000000,0.538442,0.644124,7.216279
367.000000,0.536187,0.644286,7.219874
368.000000,0.533949,0.644448,7.223455
369.000000,0.531728,0.644609,7.227023
370.000000,0.529524,0.644770,7.230578
371.000000,0.527336,0.644930,7.234119
372.000000,0.525165,0.645090,7.237647
373.000000,0.523010,0.645249,7.241162
374.000000,0.520871,0.645408,7.244664
375.000000,0.518747,0.645567,7.248153
376.000000,0.516640,0.645725,7.251629
377.000000,0.514547,0.645883,7.255092
378.000000,0.512470,0.646040,7.258543
379.000000,0.510409,0.646197,7.261981
380.000000,0.508362,0.646354,7.265406
381.000000,0.506330,0.646510,7.268820
382.000000,0.504313,0.646666,7.272220
383.000000,0.502310,0.646821,7.275609
384.000000,0.500322,0.646976,7.278985
385.000000,0.498348,0.647131,7.282349
386.000000,0.496388,0.647285,7.285702
387.000000,0.494442,0.647439,7.289042
388.000000,0.492510,0.647593,7.292370
389.000000,0.490592,0.647746,7.295687
390.000000,0.488687,0.647898,7.298992
391.000000,0.486795,0.648051,7.302285
392.000000,0.484917,0.648203,7.305567
393.000000,0.483052,0.648354,7.308838
394.000000,0.481200,0.648505,7.312097
395.000000,0.479361,0.648656,7.315344
396.000000,0.477535,0.648807,7.318581
397.000000,0.475721,0.648957,7.321806
398.000000,0.473920,0.649107,7.325020
399.000000,0.472131,0.649256,7.328223
400.000000,0.470354,0.649405,7.331415
401.000000,0.468590,0.649554,7.334596
402.000000,0.466837,0.649702,7.337767
403.000000,0.465097,0.649850,7.340926
404.000000,0.463368,0.649997,7.344075
405.000000,0.461651,0.650145,7.347214
406.000000,0.459945,0.650291,7.350341
407.000000,0.458251,0.650438,7.353459
408.000000,0.456569,0.650584,7.356565
409.000000,0.454897,0.650730,7.359662
410.000000,0.453237,0.650875,7.362748
411.000000,0.451587,0.651020,7.365824
412.000000,0.449949,0.651165,7.368890
413.000000,0.448321,0.651310,7.371946
414.000000,0.446705,0.651454,7.374991
415.000000,0.445098,0.651597,7.378027
416.000000,0.443502,0.651741,7.381053
417.000000,0.441917,0.651884,7.384069
418.000000,0.440342,0.652026,7.387075
419.000000,0.438777,0.652169,7.390071
420.000000,0.437223,0.652311,7.393058
421.000000,0.435678,0.652453,7.396035
422.000000,0.434143,0.652594,7.399003
423.000000,0.432618,0.652735,7.401961
424.000000,0.431103,0.652876,7.404909
425.000000,0.429598,0.653016,7.407848
426.000000,0.428102,0.653156,7.410778
427.000000,0.426616,0.653296,7.413699
428.000000,0.425139,0.653435,7.416610
429.000000,0.423671,0.653574,7.419512
430.000000,0.422213,0.653713,7.422405
431.000000,0.420764,0.653851,7.425289
432.000000,0.419323,0.653989,7.428164
433.000000,0.417892,0.654127,7.431030
434.000000,0.416470,0.654265,7.433888
435.000000,0.415057,0.654402,7.436736
436.000000,0.413652,0.654539,7.439575
437.000000,0.412256,0.654675,7.442406
438.000000,0.410869,0.654811,7.445228
439.000000,0.409490,0.654947,7.448041
440.000000,0.408119,0.655083,7.450846
441.000000,0.406757,0.655218,7.453642
442.000000,0.405404,0.655353,7.456430
443.000000,0.404058,0.655488,7.459209
444.000000,0.402721,0.655622,7.461980
445.000000,0.401392,0.655756,7.464743
446.000000,0.400070,0.655890,7.467497
447.000000,0.398757,0.656024,7.470243
448.000000,0.397452,0.656157,7.472980
449.000000,0.396154,0.656290,7.475710
450.000000,0.394864,0.656422,7.478431
451.000000,0.393582,0.656555,7.481145
452.000000,0.392308,0.656687,7.483850
453.000000,0.391041,0.656818,7.486547
454.000000,0.389781,0.656950,7.489236
455.000000,0.388529,0.657081,7.491918
456.000000,0.387284,0.657212,7.494591
457.000000,0.386047,0.657342,7.497257
458.000000,0.384817,0.657472,7.499915
459.000000,0.383594,0.657602,7.502565
460.000000,0.382378,0.657732,7.505208
461.000000,0.381169,0.657861,7.507843
462.000000,0.379967,0.657991,7.510470
463.000000,0.378772,0.658119,7.513090
464.000000,0.377584,0.658248,7.515702
465.000000,0.376403,0.658376,7.518307
466.000000,0.375228,0.658504,7.520904
467.000000,0.374061,0.658632,7.523494
468.000000,0.372900,0.658759,7.526077
469.000000,0.371745,0.658886,7.528652
470.000000,0.370597,0.659013,7.531220
471.000000,0.369456,0.659140,7.533780
472.000000,0.368321,0.659266,7.536334
473.000000,0.367192,0.659392,7.538880
474.000000,0.366070,0.659518,7.541419
475.000000,0.364954,0.659644,7.543951
476.000000,0.363844,0.659769,7.546476
477.000000,0.362741,0.659894,7.548994
478.000000,0.361644,0.660019,7.551505
479.000000,0.360552,0.660143,7.554009
480.000000,0.359467,0.660267,7.556506
481.000000,0.358388,0.660391,7.558997
482.000000,0.357314,0.660515,7.561480
483.000000,0.356247,0.660639,7.563957
484.000000,0.355185,0.660762,7.566427
485.000000,0.354130,0.660885,7.568890
486.000000,0.353080,0.661007,7.571346
487.000000,0.352035,0.661130,7.573796
488.000000,0.350997,0.661252,7.576239
489.000000,0.349964,0.661374,7.578676
490.000000,0.348936,0.661495,7.581105
491.000000,0.347915,0.661617,7.583529
492.000000,0.346898,0.661738,7.585946
493.000000,0.345887,0.661859,7.588356
494.000000,0.344882,0.661979,7.590760
495.000000,0.343882,0.662100,7.593158
496.000000,0.342887,0.662220,7.595549
497.000000,0.341897,0.662340,7.597934
498.000000,0.340913,0.662459,7.600313
499.000000,0.339934,0.662579,7.602685
500.000000,0.338960,0.662698,7.605051
501.000000,0.337992,0.662817,7.607411
502.000000,0.337028,0.662935,7.609765
503.000000,0.336069,0.663054,7.612112
504.000000,0.335116,0.663172,7.614454
505.000000,0.334167,0.663290,7.616789
506.000000,0.333223,0.663408,7.619119
507.000000,0.332285,0.663525,7.621442
508.000000,0.331351,0.663642,7.623759
509.000000,0.330422,0.663759,7.626070
510.000000,0.329497,0.663876,7.628376
511.000000,0.328578,0.663992,7.630675
512.000000,0.327663,0.664109,7.632969
513.000000,0.326753,0.664225,7.635256
514.000000,0.325847,0.664341,7.637538
515.000000,0.324947,0.664456,7.639814
516.000000,0.324050,0.664572,7.642085
517.000000,0.323159,0.664687,7.644349
518.000000,0.322271,0.664802,7.646608
519.000000,0.321389,0.664916,7.648861
520.000000,0.320510,0.665031,7.651109
521.000000,0.319637,0.665145,7.653351
522.000000,0.318767,0.665259,7.655587
523.000000,0.317902,0.665373,7.657817
524.000000,0.317041,0.665486,7.660042
525.000000,0.316185,0.665600,7.662262
526.000000,0.315333,0.665713,7.664476
527.000000,0.314485,0.665826,7.666685
528.000000,0.313641,0.665938,7.668888
529.000000,0.312801,0.666051,7.671086
530.000000,0.311966,0.666163,7.673278
531.000000,0.311135,0.666275,7.675465
532.000000,0.310307,0.666387,7.677646
533.000000,0.309484,0.666498,7.679823
534.000000,0.308665,0.666610,7.681993
535.000000,0.307850,0.666721,7.684159
536.000000,0.307039,0.666832,7.686320
537.000000,0.306231,0.666942,7.688475
538.000000,0.305428,0.667053,7.690625
539.000000,0.304628,0.667163,7.692769
540.000000,0.303833,0.667273,7.694909
541.000000,0.303041,0.667383,7.697044
542.000000,0.302253,0.667493,7.699173
543.000000,0.301469,0.667602,7.701297
544.000000,0.300689,0.667711,7.703416
545.000000,0.299912,0.667820,7.705531
546.000000,0.299139,0.667929,7.707640
547.000000,0.298370,0.668038,7.709744
548.000000,0.297604,0.668146,7.711843
549.000000,0.296842,0.668254,7.713937
550.000000,0.296083,0.668362,7.716027
551.000000,0.295329,0.668470,7.718111
552.000000,0.294577,0.668578,7.720190
553.000000,0.293829,0.668685,7.722265
554.000000,0.293085,0.668792,7.724335
555.000000,0.292344,0.668899,7.726400
556.000000,0.291607,0.669006,7.728460
557.000000,0.290873,0.669113,7.730515
558.000000,0.290143,0.669219,7.732566
559.000000,0.289416,0.669325,7.734612
560.000000,0.288692,0.669431,7.736653
561.000000,0.287972,0.669537,7.738689
562.000000,0.287254,0.669643,7.740721
563.000000,0.286541,0.669748,7.742748
564.000000,0.285830,0.669854,7.744771
565.000000,0.285123,0.669959,7.746789
566.000000,0.284419,0.670063,7.748802
567.000000,0.283718,0.670168,7.750811
568.000000,0.283021,0.670272,7.752815
569.000000,0.282326,0.670377,7.754814
570.000000,0.281635,0.670481,7.756810
571.000000,0.280947,0.670585,7.758800
572.000000,0.280262,0.670688,7.760786
573.000000,0.279580,0.670792,7.762768
574.000000,0.278901,0.670895,7.764745
575.000000,0.278225,0.670998,7.766718
576.000000,0.277552,0.671101,7.768686
577.000000,0.276883,0.671204,7.770650
578.000000,0.276216,0.671307,7.772610
579.000000,0.275552,0.671409,7.774565
580.000000,0.274891,0.671511,7.776516
581.000000,0.274233,0.671613,7.778463
582.000000,0.273578,0.671715,7.780405
583.000000,0.272926,0.671817,7.782343
584.000000,0.272277,0.671918,7.784277
585.000000,0.271630,0.672020,7.786207
586.000000,0.270987,0.672121,7.788132
587.000000,0.270346,0.672222,7.790053
588.000000,0.269708,0.672322,7.791970
589.000000,0.269073,0.672423,7.793883
590.000000,0.268441,0.672523,7.795791
591.000000,0.267811,0.672624,7.797696
592.000000,0.267184,0.672724,7.799596
593.000000,0.266560,0.672823,7.801493
594.000000,0.265939,0.672923,7.803385
595.000000,0.265320,0.673023,7.805273
596.000000,0.264704,0.673122,7.807157
597.000000,0.264090,0.673221,7.809037
598.000000,0.263479,0.673320,7.810913
599.000000,0.262871,0.673419,7.812785
600.000000,0.262266,0.673518,7.814653
601.000000,0.261663,0.673616,7.816517
602.000000,0.261062,0.673714,7.818377
603.000000,0.260464,0.673813,7.820233
604.000000,0.259869,0.673911,7.822086
605.000000,0.259276,0.674008,7.823934
606.000000,0.258686,0.674106,7.825778
607.000000,0.258098,0.674203,7.827619
608.000000,0.257512,0.674301,7.829456
609.000000,0.256930,0.674398,7.831288
610.000000,0.256349,0.674495,7.833117
611.000000,0.255771,0.674592,7.834943
612.000000,0.255195,0.674688,7.836764
613.000000,0.254622,0.674785,7.838582
614.000000,0.254051,0.674881,7.840395
615.000000,0.253483,0.674977,7.842206
616.000000,0.252917,0.675073,7.844012
617.000000,0.252353,0.675169,7.845815
618.000000,0.251792,0.675265,7.847614
619.000000,0.251233,0.675360,7.849409
620.000000,0.250676,0.675455,7.851200
621.000000,0.250121,0.675551,7.852988
622.000000,0.249569,0.675646,7.854772
623.000000,0.249019,0.675740,7.856553
624.000000,0.248471,0.675835,7.858330
625.000000,0.247926,0.675930,7.860103
626.000000,0.247383,0.676024,7.861873
627.000000,0.246842,0.676118,7.863639
628.000000,0.246303,0.676212,7.865402
629.000000,0.245766,0.676306,7.867161
630.000000,0.245232,0.676400,7.868916
631.000000,0.244699,0.676493,7.870668
632.000000,0.244169,0.676587,7.872417
633.000000,0.243641,0.676680,7.874162
634.000000,0.243115,0.676773,7.875903
635.000000,0.242591,0.676866,7.877641
636.000000,0.242069,0.676959,7.879376
637.000000,0.241550,0.677052,7.881107
638.000000,0.241032,0.677144,7.882834
639.000000,0.240517,0.677237,7.884559
640.000000,0.240003,0.677329,7.886280
641.000000,0.239492,0.677421,7.887997
642.000000,0.238982,0.677513,7.889711
643.000000,0.238475,0.677604,7.891422
644.000000,0.237970,0.677696,7.893129
645.000000,0.237466,0.677787,7.894833
646.000000,0.236965,0.677879,7.896534
647.000000,0.236465,0.677970,7.898231
648.000000,0.235968,0.678061,7.899925
649.000000,0.235472,0.678152,7.901615
650.000000,0.234978,0.678243,7.903303
651.000000,0.234487,0.678333,7.904987
652.000000,0.233997,0.678423,7.906668
653.000000,0.233509,0.678514,7.908346
654.000000,0.233023,0.678604,7.910020
655.000000,0.232539,0.678694,7.911691
656.000000,0.232057,0.678784,7.913359
657.000000,0.231576,0.678873,7.915024
658.000000,0.231098,0.678963,7.916685
659.000000,0.230621,0.679052,7.918344
660.000000,0.230146,0.679142,7.919999
661.000000,0.229673,0.679231,7.921651
662.000000,0.229202,0.679320,7.923300
663.000000,0.228732,0.679409,7.924946
664.000000,0.228265,0.679497,7.926588
665.000000,0.227799,0.679586,7.928228
666.000000,0.227335,0.679674,7.929864
667.000000,0.226872,0.679763,7.931498
668.000000,0.226412,0.679851,7.933128
669.000000,0.225953,0.679939,7.934755
670.000000,0.225496,0.680027,7.936380
671.000000,0.225040,0.680114,7.938001
672.000000,0.224586,0.680202,7.939619
673.000000,0.224134,0.680289,7.941234
674.000000,0.223684,0.680377,7.942846
675.000000,0.223236,0.680464,7.944455
676.000000,0.222789,0.680551,7.946061
677.000000,0.222343,0.680638,7.947664
678.000000,0.221900,0.680724,7.949264
679.000000,0.221458,0.680811,7.950862
680.000000,0.221017,0.680898,7.952456
681.000000,0.220579,0.680984,7.954047
682.000000,0.220141,0.681070,7.955635
683.000000,0.219706,0.681156,7.957221
684.000000,0.219272,0.681242,7.958803
685.000000,0.218840,0.681328,7.960383
686.000000,0.218409,0.681414,7.961960
687.000000,0.217980,0.681499,7.963534
688.000000,0.217552,0.681585,7.965105
689.000000,0.217126,0.681670,7.966673
690.000000,0.216702,0.681755,7.968238
691.000000,0.216279,0.681840,7.969801
692.000000,0.215858,0.681925,7.971360
693.000000,0.215438,0.682010,7.972917
694.000000,0.215019,0.682095,7.974471
695.000000,0.214603,0.682179,7.976022
696.000000,0.214187,0.682264,7.977571
697.000000,0.213774,0.682348,7.979117
698.000000,0.213361,0.682432,7.980659
