x,y,z,clase
3.273292,5.250130,2.796421,0
4.734117,2.460237,1.006883,0
3.443212,2.048217,5.810243,0
4.244783,2.672341,3.376507,0
2.083012,4.343945,2.812935,0
4.276590,2.747979,4.711475,0
3.560003,1.106294,4.397363,0
3.543901,4.212708,2.065102,0
1.561480,3.492075,2.335936,0
3.891749,3.356367,3.906032,0
3.945143,2.679194,2.804022,0
1.778961,2.016804,2.970323,0
3.691834,4.725609,2.692612,0
4.131238,1.483266,3.968089,0
2.791396,2.110802,2.161574,0
2.580365,3.446467,3.319561,0
4.058800,3.250415,3.615469,0
2.934637,2.610679,4.233696,0
3.450923,1.748581,1.843133,0
2.520953,3.593146,3.732278,0
3.231601,2.851389,2.572603,0
9.933705,10.089051,8.568562,1
10.791473,8.216003,10.490571,1
10.095434,8.692529,10.579036,1
10.641635,8.351623,9.572781,1
9.250171,10.812412,8.299428,1
10.829908,8.601720,9.732973,1
9.884696,8.915816,9.400064,1
10.062782,9.307927,11.247056,1
8.758879,8.448793,9.850139,1
7.410630,9.919844,9.005725,1
9.136642,9.028248,8.640146,1
10.905450,9.205027,7.794147,1
7.976709,8.769720,9.388714,1
10.816123,10.513803,10.447544,1
9.214956,7.725466,8.327384,1
10.369451,7.736925,11.119577,1
9.848449,9.349809,7.813011,1
9.999176,8.488304,8.431452,1
9.502695,10.944015,9.214188,1
7.862174,9.086530,8.991341,1
10.061581,8.306191,8.873042,1
8.956751,9.840808,8.616502,1
10.035012,8.303057,10.065013,1
9.559545,9.159095,8.489481,1
9.200137,9.665415,9.904089,1
8.916245,8.014672,9.102326,1
9.488815,9.091013,9.631590,1
7.131085,9.334069,8.921317,1
8.971110,10.315388,8.620547,1
8.774576,7.537448,9.558478,1
7.206565,9.367031,9.590173,1
9.463762,8.250738,8.485017,1
9.673291,10.006187,8.394580,1
9.514855,9.508510,8.457298,1
7.871687,9.549758,10.078670,1
8.859037,9.180181,9.877510,1
9.673202,7.701641,9.228219,1
9.746438,10.047167,9.796685,1
10.158267,7.975976,7.768949,1
7.684493,9.124725,8.975647,1
9.191790,7.730867,9.207109,1
8.932545,9.311826,8.635958,1
7.866655,9.609972,8.748097,1
8.761017,9.913913,8.007269,1
8.435431,8.802262,10.064101,1
9.272260,10.203609,9.765499,1
9.128700,9.540337,6.795688,1
9.260437,10.058197,8.149184,1
8.136579,10.074985,10.379401,1
7.992755,11.206635,10.788945,1
8.340135,9.176977,10.208001,1
8.839603,8.855667,11.084327,1
7.607070,10.465867,9.821288,1
9.712540,7.423528,7.547482,1
10.109268,7.407659,7.371580,1
8.426132,9.406462,7.795619,1
9.615029,9.708715,8.858178,1
10.042487,10.608332,7.915288,1
8.118884,7.986728,7.797884,1
9.950650,7.881050,9.036313,1
9.098421,9.306803,8.410288,1
8.695028,9.821501,8.761100,1
10.185269,8.939128,8.416603,1
8.256126,9.694881,9.462165,1
8.209584,8.182430,8.892817,1
8.900205,8.850322,7.671871,1
8.851100,8.947697,10.620012,1
7.201577,9.741835,7.362881,1
10.979659,7.263464,9.634549,1
10.598663,9.811366,9.137047,1
9.525933,9.192281,8.328051,1
9.388193,7.072077,8.165518,1
9.368269,9.674623,9.278514,1
9.122914,7.882410,8.940464,1
9.287212,9.884196,9.334070,1
7.545026,8.602971,10.150737,1
8.750166,8.176405,8.648791,1
8.247134,7.260937,9.670567,1
9.746616,9.680209,8.174503,1
9.230372,8.401174,8.566371,1
9.713844,10.165488,8.940733,1
10.075103,10.375442,10.153678,1
9.860580,10.101768,9.715141,1
8.594409,8.689913,7.891748,1
8.987239,10.131819,8.702553,1
7.835880,7.659018,8.369639,1
7.811923,8.897796,10.171209,1
7.999104,10.223297,8.651322,1
8.681701,8.504131,8.936083,1
8.896800,9.865109,8.785524,1
10.071467,8.155664,9.143613,1
10.734926,9.793512,8.367349,1
9.738040,8.661683,9.994908,1
8.800466,7.724023,8.458158,1
9.248750,9.891317,8.490998,1
9.152514,8.728307,9.642860,1
9.171528,8.082910,9.590045,1
8.778787,8.887075,9.349949,1
8.779057,7.702696,8.908434,1
10.059926,9.773383,9.062611,1
