epoca,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w1_8,w1_9,w1_10,w1_11,w1_12,w1_13,w1_14,w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,w2_9,b1_0,b1_1,b1_2,b1_3,b1_4,b2_0,b2_1
24.000000,0.115180,0.077432,0.095174,0.097726,-0.107938,0.087772,0.100821,0.105948,0.112834,-0.127810,0.124913,0.136270,0.112656,0.081225,-0.165583,-0.352089,0.377711,-0.312353,0.314143,-0.324745,0.296784,-0.192539,0.264731,0.761586,-0.654504,-0.165380,-0.124660,-0.123936,-0.065165,0.271624,0.396234,-0.476007
25.000000,0.115896,0.078029,0.095790,0.098273,-0.110891,0.087901,0.101012,0.106153,0.113180,-0.127484,0.126651,0.137855,0.114186,0.082458,-0.169356,-0.362936,0.388569,-0.322351,0.324140,-0.334680,0.306718,-0.201226,0.273397,0.797345,-0.690605,-0.177046,-0.134371,-0.133550,-0.071745,0.298346,0.417473,-0.497490
26.000000,0.116617,0.078627,0.096408,0.098804,-0.113923,0.088000,0.101175,0.106331,0.113493,-0.126976,0.128396,0.139446,0.115723,0.083684,-0.173157,-0.373898,0.399547,-0.332431,0.334223,-0.344698,0.316736,-0.209945,0.282098,0.833327,-0.726953,-0.189017,-0.144366,-0.143447,-0.078581,0.326188,0.438468,-0.518739
27.000000,0.117344,0.079227,0.097027,0.099322,-0.117031,0.088071,0.101311,0.106481,0.113776,-0.126290,0.130143,0.141040,0.117262,0.084904,-0.176980,-0.384972,0.410641,-0.342592,0.344390,-0.354794,0.326837,-0.218696,0.290831,0.869515,-0.763532,-0.201284,-0.154639,-0.153619,-0.085666,0.355112,0.459206,-0.539740
28.000000,0.118074,0.079827,0.097646,0.099831,-0.120208,0.088112,0.101418,0.106604,0.114030,-0.125434,0.131889,0.142632,0.118800,0.086120,-0.180820,-0.396154,0.421847,-0.352829,0.354636,-0.364966,0.337017,-0.227476,0.299596,0.905889,-0.800323,-0.213839,-0.165179,-0.164057,-0.092991,0.385072,0.479675,-0.560481
29.000000,0.118806,0.080426,0.098263,0.100329,-0.123447,0.088124,0.101496,0.106698,0.114259,-0.124419,0.133630,0.144220,0.120335,0.087328,-0.184669,-0.407437,0.433159,-0.363138,0.364959,-0.375209,0.347272,-0.236284,0.308391,0.942428,-0.837304,-0.226670,-0.175976,-0.174751,-0.100548,0.416020,0.499865,-0.580952
30.000000,0.119537,0.081022,0.098876,0.100817,-0.126739,0.088108,0.101547,0.106764,0.114461,-0.123259,0.135362,0.145800,0.121862,0.088529,-0.188522,-0.418814,0.444569,-0.373513,0.375351,-0.385517,0.357595,-0.245115,0.317211,0.979106,-0.874451,-0.239765,-0.187020,-0.185690,-0.108327,0.447900,0.519765,-0.601142
31.000000,0.120266,0.081613,0.099484,0.101293,-0.130075,0.088064,0.101570,0.106802,0.114638,-0.121969,0.137080,0.147367,0.123377,0.089719,-0.192370,-0.430276,0.456070,-0.383946,0.385805,-0.395882,0.367980,-0.253963,0.326052,1.015899,-0.911735,-0.253111,-0.198299,-0.196863,-0.116319,0.480653,0.539367,-0.621041
32.000000,0.120989,0.082198,0.100084,0.101757,-0.133442,0.087994,0.101566,0.106815,0.114791,-0.120567,0.138781,0.148917,0.124877,0.090895,-0.196206,-0.441812,0.467652,-0.394429,0.396314,-0.406296,0.378419,-0.262824,0.334908,1.052778,-0.949131,-0.266695,-0.209801,-0.208258,-0.124512,0.514217,0.558664,-0.640640
33.000000,0.121704,0.082774,0.100675,0.102207,-0.136831,0.087899,0.101538,0.106802,0.114920,-0.119071,0.140460,0.150448,0.126357,0.092056,-0.200023,-0.453413,0.479304,-0.404952,0.406869,-0.416751,0.388903,-0.271690,0.343772,1.089716,-0.986607,-0.280502,-0.221512,-0.219861,-0.132896,0.548526,0.577648,-0.659934
34.000000,0.122409,0.083339,0.101254,0.102641,-0.140228,0.087783,0.101486,0.106765,0.115026,-0.117503,0.142112,0.151954,0.127815,0.093197,-0.203809,-0.465066,0.491014,-0.415506,0.417459,-0.427235,0.399421,-0.280553,0.352638,1.126685,-1.024136,-0.294517,-0.233419,-0.231660,-0.141459,0.583513,0.596316,-0.678915
35.000000,0.123100,0.083891,0.101818,0.103058,-0.143622,0.087648,0.101413,0.106707,0.115112,-0.115883,0.143733,0.153431,0.129246,0.094315,-0.207558,-0.476759,0.502770,-0.426079,0.428074,-0.437738,0.409965,-0.289405,0.361497,1.163656,-1.061686,-0.308724,-0.245508,-0.243639,-0.150189,0.619108,0.614663,-0.697579
36.000000,0.123775,0.084427,0.102367,0.103456,-0.147003,0.087497,0.101321,0.106630,0.115177,-0.114232,0.145319,0.154876,0.130646,0.095409,-0.211258,-0.488479,0.514559,-0.436661,0.438703,-0.448250,0.420522,-0.298238,0.370341,1.200603,-1.099230,-0.323106,-0.257764,-0.255784,-0.159073,0.655243,0.632686,-0.715922
37.000000,0.124431,0.084947,0.102897,0.103833,-0.150360,0.087334,0.101214,0.106538,0.115225,-0.112570,0.146866,0.156285,0.132012,0.096474,-0.214901,-0.500213,0.526369,-0.447240,0.449334,-0.458758,0.431081,-0.307043,0.379162,1.237498,-1.136737,-0.337645,-0.270171,-0.268080,-0.168100,0.691848,0.650384,-0.733942
38.000000,0.125067,0.085448,0.103406,0.104189,-0.153683,0.087162,0.101094,0.106432,0.115257,-0.110919,0.148369,0.157654,0.133340,0.097509,-0.218476,-0.511948,0.538186,-0.457805,0.459958,-0.469253,0.441633,-0.315812,0.387952,1.274313,-1.174179,-0.352326,-0.282713,-0.280512,-0.177256,0.728854,0.667756,-0.751635
39.000000,0.125679,0.085928,0.103894,0.104522,-0.156964,0.086987,0.100966,0.106317,0.115276,-0.109296,0.149825,0.158980,0.134627,0.098511,-0.221972,-0.523671,0.549997,-0.468345,0.470562,-0.479723,0.452164,-0.324537,0.396701,1.311024,-1.211528,-0.367130,-0.295376,-0.293063,-0.186529,0.766194,0.684801,-0.769001
40.000000,0.126266,0.086386,0.104359,0.104831,-0.160194,0.086811,0.100832,0.106196,0.115285,-0.107721,0.151232,0.160261,0.135871,0.099478,-0.225379,-0.535369,0.561789,-0.478850,0.481135,-0.490157,0.462666,-0.333209,0.405403,1.347605,-1.248756,-0.382038,-0.308143,-0.305719,-0.195904,0.803804,0.701519,-0.786039
41.000000,0.126827,0.086820,0.104798,0.105116,-0.163366,0.086641,0.100697,0.106074,0.115285,-0.106209,0.152585,0.161493,0.137069,0.100408,-0.228686,-0.547032,0.573551,-0.489309,0.491669,-0.500547,0.473128,-0.341821,0.414050,1.384030,-1.285836,-0.397035,-0.320999,-0.318463,-0.205370,0.841619,0.717910,-0.802748
42.000000,0.127358,0.087230,0.105212,0.105375,-0.166474,0.086480,0.100565,0.105953,0.115281,-0.104777,0.153882,0.162674,0.138218,0.101300,-0.231885,-0.558648,0.585272,-0.499713,0.502152,-0.510882,0.483540,-0.350368,0.422635,1.420276,-1.322742,-0.412101,-0.333928,-0.331280,-0.214913,0.879580,0.733976,-0.819129
43.000000,0.127860,0.087615,0.105599,0.105609,-0.169511,0.086333,0.100439,0.105838,0.115275,-0.103439,0.155122,0.163802,0.139317,0.102151,-0.234965,-0.570207,0.596939,-0.510055,0.512577,-0.521155,0.493894,-0.358842,0.431151,1.456318,-1.359448,-0.427220,-0.346913,-0.344155,-0.224520,0.917630,0.749718,-0.835181
44.000000,0.128331,0.087974,0.105959,0.105818,-0.172472,0.086203,0.100324,0.105732,0.115270,-0.102208,0.156301,0.164876,0.140364,0.102962,-0.237918,-0.581699,0.608545,-0.520325,0.522935,-0.531357,0.504182,-0.367240,0.439595,1.492133,-1.395929,-0.442374,-0.359941,-0.357072,-0.234180,0.955713,0.765135,-0.850906
45.000000,0.128770,0.088306,0.106291,0.106001,-0.175352,0.086096,0.100223,0.105640,0.115269,-0.101094,0.157419,0.165894,0.141358,0.103731,-0.240736,-0.593116,0.620080,-0.530518,0.533218,-0.541483,0.514396,-0.375555,0.447960,1.527699,-1.432161,-0.457548,-0.372997,-0.370018,-0.243879,0.993779,0.780231,-0.866305
46.000000,0.129176,0.088612,0.106594,0.106158,-0.178146,0.086015,0.100139,0.105564,0.115275,-0.100108,0.158474,0.166855,0.142298,0.104458,-0.243412,-0.604451,0.631535,-0.540627,0.543422,-0.551525,0.524531,-0.383785,0.456242,1.562993,-1.468119,-0.472726,-0.386066,-0.382977,-0.253606,1.031780,0.795007,-0.881378
47.000000,0.129550,0.088891,0.106869,0.106291,-0.180849,0.085963,0.100075,0.105508,0.115290,-0.099259,0.159466,0.167759,0.143184,0.105143,-0.245942,-0.615696,0.642903,-0.550647,0.553539,-0.561479,0.534580,-0.391925,0.464438,1.597995,-1.503783,-0.487891,-0.399134,-0.395937,-0.263350,1.069671,0.809465,-0.896127
48.000000,0.129891,0.089142,0.107116,0.106398,-0.183457,0.085944,0.100036,0.105474,0.115316,-0.098552,0.160394,0.168605,0.144015,0.105785,-0.248320,-0.626847,0.654179,-0.560574,0.563564,-0.571341,0.544539,-0.399975,0.472546,1.632685,-1.539129,-0.503030,-0.412190,-0.408885,-0.273100,1.107409,0.823606,-0.910555
49.000000,0.130198,0.089367,0.107335,0.106482,-0.185966,0.085960,0.100022,0.105465,0.115356,-0.097995,0.161258,0.169394,0.144791,0.106385,-0.250545,-0.637896,0.665356,-0.570402,0.573494,-0.581105,0.554403,-0.407931,0.480562,1.667043,-1.574139,-0.518129,-0.425220,-0.421808,-0.282846,1.144958,0.837434,-0.924664
50.000000,0.130472,0.089565,0.107525,0.106541,-0.188372,0.086013,0.100036,0.105483,0.115412,-0.097592,0.162059,0.170126,0.145513,0.106943,-0.252613,-0.648841,0.676430,-0.580130,0.583324,-0.590769,0.564169,-0.415791,0.488485,1.701053,-1.608792,-0.533175,-0.438212,-0.434695,-0.292579,1.182281,0.850952,-0.938455
51.000000,0.130713,0.089738,0.107689,0.106578,-0.190673,0.086106,0.100080,0.105531,0.115484,-0.097345,0.162798,0.170801,0.146181,0.107461,-0.254524,-0.659677,0.687396,-0.589753,0.593052,-0.600331,0.573833,-0.423556,0.496313,1.734697,-1.643073,-0.548156,-0.451157,-0.447534,-0.302288,1.219347,0.864161,-0.951933
52.000000,0.130922,0.089884,0.107825,0.106592,-0.192866,0.086240,0.100156,0.105609,0.115576,-0.097256,0.163475,0.171421,0.146796,0.107938,-0.256279,-0.670401,0.698251,-0.599271,0.602675,-0.609788,0.583393,-0.431224,0.504047,1.767960,-1.676964,-0.563060,-0.464043,-0.460317,-0.311967,1.256126,0.877066,-0.965100
53.000000,0.131099,0.090006,0.107935,0.106585,-0.194949,0.086416,0.100264,0.105718,0.115686,-0.097328,0.164091,0.171986,0.147360,0.108376,-0.257877,-0.681010,0.708991,-0.608681,0.612191,-0.619138,0.592847,-0.438795,0.511684,1.800830,-1.710451,-0.577878,-0.476862,-0.473033,-0.321606,1.292592,0.889671,-0.977960
54.000000,0.131245,0.090103,0.108019,0.106558,-0.196920,0.086633,0.100406,0.105859,0.115817,-0.097560,0.164648,0.172498,0.147873,0.108776,-0.259321,-0.691502,0.719614,-0.617982,0.621598,-0.628380,0.602193,-0.446269,0.519224,1.833293,-1.743523,-0.592599,-0.489604,-0.485674,-0.331200,1.328720,0.901979,-0.990517
55.000000,0.131361,0.090177,0.108079,0.106511,-0.198780,0.086893,0.100580,0.106033,0.115968,-0.097952,0.165148,0.172958,0.148337,0.109138,-0.260612,-0.701875,0.730117,-0.627173,0.630895,-0.637513,0.611431,-0.453645,0.526668,1.865339,-1.776166,-0.607215,-0.502263,-0.498233,-0.340740,1.364489,0.913996,-1.002775
56.000000,0.131447,0.090228,0.108115,0.106445,-0.200527,0.087195,0.100789,0.106239,0.116141,-0.098503,0.165592,0.173369,0.148753,0.109465,-0.261753,-0.712128,0.740500,-0.636253,0.640081,-0.646536,0.620558,-0.460924,0.534015,1.896960,-1.808372,-0.621719,-0.514830,-0.510701,-0.350221,1.399881,0.925724,-1.014740
57.000000,0.131506,0.090258,0.108129,0.106362,-0.202162,0.087539,0.101030,0.106478,0.116334,-0.099210,0.165982,0.173731,0.149123,0.109758,-0.262747,-0.722260,0.750761,-0.645222,0.649154,-0.655449,0.629574,-0.468107,0.541265,1.928146,-1.840132,-0.636102,-0.527299,-0.523073,-0.359638,1.434879,0.937170,-1.026416
58.000000,0.131537,0.090267,0.108120,0.106262,-0.203686,0.087922,0.101303,0.106747,0.116548,-0.100072,0.166321,0.174046,0.149450,0.110017,-0.263596,-0.732270,0.760899,-0.654079,0.658116,-0.664251,0.638479,-0.475194,0.548420,1.958892,-1.871440,-0.650359,-0.539665,-0.535343,-0.368986,1.469468,0.948339,-1.037808
59.000000,0.131543,0.090257,0.108092,0.106146,-0.205101,0.088345,0.101608,0.107048,0.116781,-0.101083,0.166610,0.174318,0.149734,0.110246,-0.264306,-0.742157,0.770913,-0.662824,0.666965,-0.672942,0.647273,-0.482185,0.555479,1.989193,-1.902291,-0.664483,-0.551922,-0.547505,-0.378260,1.503636,0.959236,-1.048922
60.000000,0.131525,0.090228,0.108044,0.106016,-0.206408,0.088805,0.101943,0.107377,0.117034,-0.102241,0.166853,0.174547,0.149978,0.110444,-0.264880,-0.751922,0.780802,-0.671458,0.675701,-0.681523,0.655955,-0.489082,0.562443,2.019045,-1.932681,-0.678471,-0.564065,-0.559555,-0.387455,1.537371,0.969866,-1.059763
61.000000,0.131483,0.090183,0.107977,0.105872,-0.207609,0.089300,0.102306,0.107735,0.117306,-0.103540,0.167052,0.174736,0.150185,0.110614,-0.265324,-0.761563,0.790567,-0.679980,0.684325,-0.689994,0.664526,-0.495884,0.569313,2.048446,-1.962608,-0.692316,-0.576091,-0.571489,-0.396570,1.570666,0.980236,-1.070337
62.000000,0.131420,0.090121,0.107894,0.105716,-0.208708,0.089829,0.102697,0.108119,0.117594,-0.104974,0.167209,0.174887,0.150355,0.110758,-0.265643,-0.771082,0.800208,-0.688392,0.692837,-0.698355,0.672986,-0.502594,0.576090,2.077395,-1.992070,-0.706017,-0.587996,-0.583304,-0.405599,1.603512,0.990351,-1.080651
63.000000,0.131336,0.090045,0.107795,0.105549,-0.209707,0.090389,0.103113,0.108527,0.117899,-0.106536,0.167327,0.175003,0.150492,0.110877,-0.265845,-0.780478,0.809724,-0.696694,0.701238,-0.706606,0.681335,-0.509212,0.582773,2.105891,-2.021066,-0.719568,-0.599777,-0.594995,-0.414542,1.635903,1.000217,-1.090710
64.000000,0.131234,0.089955,0.107682,0.105371,-0.210609,0.090977,0.103552,0.108958,0.118219,-0.108220,0.167409,0.175086,0.150599,0.110973,-0.265935,-0.789752,0.819117,-0.704885,0.709527,-0.714749,0.689575,-0.515739,0.589365,2.133935,-2.049599,-0.732969,-0.611431,-0.606562,-0.423395,1.667836,1.009840,-1.100521
65.000000,0.131115,0.089852,0.107555,0.105184,-0.211418,0.091591,0.104012,0.109409,0.118552,-0.110016,0.167457,0.175139,0.150676,0.111048,-0.265921,-0.798904,0.828385,-0.712968,0.717706,-0.722784,0.697704,-0.522175,0.595866,2.161529,-2.077669,-0.746216,-0.622956,-0.618001,-0.432156,1.699307,1.019226,-1.110089
66.000000,0.130979,0.089739,0.107417,0.104989,-0.212139,0.092228,0.104490,0.109879,0.118897,-0.111916,0.167475,0.175163,0.150727,0.111103,-0.265812,-0.807936,0.837532,-0.720943,0.725776,-0.730711,0.705725,-0.528522,0.602277,2.188676,-2.105280,-0.759308,-0.634351,-0.629310,-0.440824,1.730314,1.028382,-1.119421
67.000000,0.130829,0.089615,0.107267,0.104786,-0.212774,0.092885,0.104986,0.110365,0.119253,-0.113909,0.167465,0.175162,0.150754,0.111140,-0.265615,-0.816848,0.846556,-0.728811,0.733736,-0.738533,0.713638,-0.534781,0.608599,2.215378,-2.132434,-0.772242,-0.645613,-0.640489,-0.449397,1.760856,1.037312,-1.128523
68.000000,0.130666,0.089483,0.107108,0.104578,-0.213329,0.093559,0.105495,0.110865,0.119617,-0.115987,0.167430,0.175137,0.150759,0.111162,-0.265340,-0.825641,0.855459,-0.736572,0.741589,-0.746248,0.721444,-0.540954,0.614833,2.241639,-2.159136,-0.785020,-0.656743,-0.651537,-0.457875,1.790933,1.046024,-1.137400
69.000000,0.130492,0.089342,0.106941,0.104364,-0.213807,0.094249,0.106017,0.111376,0.119989,-0.118139,0.167372,0.175092,0.150744,0.111169,-0.264994,-0.834316,0.864242,-0.744229,0.749335,-0.753860,0.729145,-0.547040,0.620981,2.267465,-2.185390,-0.797639,-0.667739,-0.662452,-0.466256,1.820546,1.054523,-1.146060
70.000000,0.130307,0.089195,0.106766,0.104145,-0.214213,0.094950,0.106549,0.111897,0.120367,-0.120354,0.167295,0.175028,0.150712,0.111163,-0.264586,-0.842874,0.872907,-0.751781,0.756976,-0.761368,0.736740,-0.553041,0.627042,2.292859,-2.211201,-0.810099,-0.678601,-0.673234,-0.474539,1.849696,1.062815,-1.154508
71.000000,0.130113,0.089043,0.106585,0.103923,-0.214551,0.095661,0.107088,0.112425,0.120750,-0.122622,0.167200,0.174948,0.150665,0.111146,-0.264126,-0.851317,0.881453,-0.759231,0.764512,-0.768775,0.744232,-0.558959,0.633019,2.317826,-2.236574,-0.822400,-0.689328,-0.683882,-0.482725,1.878386,1.070905,-1.162750
72.000000,0.129911,0.088886,0.106399,0.103698,-0.214827,0.096378,0.107633,0.112959,0.121135,-0.124933,0.167090,0.174853,0.150604,0.111119,-0.263622,-0.859645,0.889883,-0.766579,0.771945,-0.776080,0.751621,-0.564794,0.638912,2.342373,-2.261517,-0.834543,-0.699921,-0.694398,-0.490813,1.906619,1.078801,-1.170792
73.000000,0.129703,0.088725,0.106209,0.103472,-0.215043,0.097100,0.108182,0.113496,0.121523,-0.127275,0.166967,0.174745,0.150532,0.111083,-0.263081,-0.867860,0.898198,-0.773827,0.779276,-0.783286,0.758909,-0.570547,0.644723,2.366506,-2.286034,-0.846528,-0.710380,-0.704781,-0.498802,1.934398,1.086506,-1.178640
74.000000,0.129490,0.088562,0.106016,0.103244,-0.215205,0.097824,0.108732,0.114035,0.121910,-0.129641,0.166834,0.174627,0.150451,0.111041,-0.262512,-0.875964,0.906400,-0.780976,0.786507,-0.790393,0.766098,-0.576221,0.650453,2.390230,-2.310132,-0.858355,-0.720705,-0.715031,-0.506694,1.961729,1.094026,-1.186298
75.000000,0.129273,0.088397,0.105820,0.103016,-0.215316,0.098548,0.109282,0.114574,0.122297,-0.132019,0.166692,0.174501,0.150361,0.110992,-0.261923,-0.883957,0.914489,-0.788027,0.793638,-0.797404,0.773187,-0.581816,0.656103,2.413551,-2.333817,-0.870026,-0.730896,-0.725149,-0.514488,1.988614,1.101368,-1.193773
76.000000,0.129052,0.088231,0.105624,0.102789,-0.215381,0.099270,0.109831,0.115111,0.122682,-0.134402,0.166544,0.174366,0.150265,0.110939,-0.261319,-0.891841,0.922467,-0.794982,0.800671,-0.804319,0.780179,-0.587333,0.661674,2.436477,-2.357098,-0.881542,-0.740956,-0.735136,-0.522185,2.015060,1.108535,-1.201070
