epoca,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w1_8,w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,b1_0,b1_1,b1_2,b2_0,b2_1,b2_2
12.000000,0.040771,0.044309,0.118185,0.166459,0.095247,0.073189,0.080988,0.148665,0.074683,-0.375333,-0.081063,0.027357,-0.388071,-0.115290,-0.015007,-0.321431,-0.031907,-0.058592,-0.027335,-0.019138,-0.016424,-0.096870,-0.457799,-0.338532
13.000000,0.034649,0.038741,0.120440,0.169017,0.096928,0.072285,0.084057,0.150951,0.074680,-0.385723,-0.079499,0.036686,-0.398364,-0.112699,-0.006804,-0.330496,-0.022789,-0.058176,-0.032625,-0.023855,-0.020461,-0.073568,-0.471374,-0.351753
14.000000,0.027978,0.032816,0.122931,0.171787,0.098950,0.071249,0.087348,0.153599,0.074602,-0.396099,-0.078279,0.046637,-0.408662,-0.110384,0.001974,-0.339534,-0.013281,-0.057917,-0.038278,-0.028920,-0.024815,-0.050055,-0.484516,-0.365271
15.000000,0.020713,0.026488,0.125691,0.174759,0.101282,0.070056,0.090846,0.156578,0.074430,-0.406493,-0.077488,0.057235,-0.418999,-0.108410,0.011334,-0.348591,-0.003369,-0.057875,-0.044304,-0.034340,-0.029492,-0.026374,-0.497245,-0.379139
16.000000,0.012800,0.019704,0.128751,0.177916,0.103889,0.068674,0.094534,0.159849,0.074133,-0.416926,-0.077208,0.068521,-0.429402,-0.106831,0.021291,-0.357706,0.006978,-0.058111,-0.050714,-0.040125,-0.034496,-0.002564,-0.509564,-0.393400
17.000000,0.004176,0.012407,0.132149,0.181244,0.106736,0.067064,0.098393,0.163374,0.073675,-0.427413,-0.077534,0.080555,-0.439895,-0.105700,0.031874,-0.366920,0.017806,-0.058687,-0.057518,-0.046287,-0.039836,0.021335,-0.521465,-0.408093
18.000000,-0.005236,0.004539,0.135926,0.184731,0.109793,0.065180,0.102408,0.167121,0.073016,-0.437958,-0.078573,0.093415,-0.450499,-0.105072,0.043120,-0.376277,0.029174,-0.059666,-0.064730,-0.052838,-0.045520,0.045280,-0.532927,-0.423251
19.000000,-0.015533,-0.003960,0.140136,0.188366,0.113037,0.062972,0.106562,0.171064,0.072109,-0.448560,-0.080463,0.107204,-0.461239,-0.105009,0.055086,-0.385830,0.041157,-0.061119,-0.072362,-0.059790,-0.051559,0.069216,-0.543920,-0.438908
20.000000,-0.026839,-0.013152,0.144841,0.192140,0.116453,0.060383,0.110842,0.175184,0.070904,-0.459203,-0.083375,0.122054,-0.472142,-0.105584,0.067842,-0.395644,0.053849,-0.063120,-0.080429,-0.067157,-0.057966,0.093075,-0.554400,-0.455094
21.000000,-0.039319,-0.023107,0.150117,0.196043,0.120031,0.057349,0.115230,0.179469,0.069344,-0.469855,-0.087542,0.138140,-0.483238,-0.106884,0.081481,-0.405806,0.067364,-0.065753,-0.088945,-0.074952,-0.064756,0.116770,-0.564306,-0.471839
22.000000,-0.053203,-0.033898,0.156057,0.200067,0.123770,0.053798,0.119707,0.183912,0.067366,-0.480452,-0.093275,0.155691,-0.494566,-0.109012,0.096118,-0.416428,0.081844,-0.069106,-0.097925,-0.083191,-0.071948,0.140183,-0.573557,-0.489171
23.000000,-0.068824,-0.045608,0.162774,0.204200,0.127677,0.049654,0.124247,0.188516,0.064905,-0.490878,-0.101017,0.175018,-0.506178,-0.112086,0.111901,-0.427668,0.097465,-0.073279,-0.107384,-0.091890,-0.079565,0.163148,-0.582045,-0.507116
24.000000,-0.086677,-0.058323,0.170405,0.208435,0.131771,0.044840,0.128818,0.193296,0.061896,-0.500931,-0.111417,0.196552,-0.518151,-0.116246,0.129017,-0.439749,0.114443,-0.078369,-0.117333,-0.101063,-0.087633,0.185431,-0.589624,-0.525689
25.000000,-0.107525,-0.072115,0.179119,0.212777,0.136094,0.039293,0.133389,0.198287,0.058293,-0.510247,-0.125452,0.220905,-0.530610,-0.121637,0.147703,-0.452997,0.133046,-0.084460,-0.127778,-0.110729,-0.096183,0.206688,-0.596095,-0.544885
26.000000,-0.132557,-0.087013,0.189123,0.217291,0.140723,0.032998,0.137965,0.203565,0.054098,-0.518169,-0.144621,0.248946,-0.543763,-0.128396,0.168263,-0.467900,0.153594,-0.091588,-0.138706,-0.120901,-0.105249,0.226405,-0.601195,-0.564652
27.000000,-0.163519,-0.102945,0.200652,0.222246,0.145783,0.026033,0.142719,0.209256,0.049406,-0.523546,-0.171124,0.281849,-0.557935,-0.136614,0.191082,-0.485150,0.176446,-0.099675,-0.150061,-0.131593,-0.114868,0.243859,-0.604588,-0.584843
28.000000,-0.202329,-0.119773,0.213905,0.228438,0.151397,0.018566,0.148339,0.215487,0.044402,-0.524693,-0.207533,0.320865,-0.573471,-0.146319,0.216580,-0.505530,0.201941,-0.108497,-0.161677,-0.142831,-0.125080,0.258233,-0.605914,-0.605195
29.000000,-0.249379,-0.137664,0.228857,0.237307,0.157439,0.010632,0.156234,0.222122,0.039132,-0.520310,-0.254951,0.366519,-0.590227,-0.157585,0.245015,-0.529322,0.230332,-0.117901,-0.173240,-0.154677,-0.135961,0.269225,-0.604881,-0.625503
30.000000,-0.302347,-0.157544,0.245218,0.249822,0.163377,0.001924,0.167476,0.228594,0.033295,-0.511076,-0.311179,0.417990,-0.607031,-0.170864,0.276321,-0.555831,0.261818,-0.128206,-0.184426,-0.167246,-0.147636,0.277549,-0.601297,-0.645983
31.000000,-0.358227,-0.180713,0.262842,0.265364,0.168813,-0.007757,0.181558,0.234448,0.026709,-0.499092,-0.372504,0.473791,-0.622221,-0.187335,0.310503,-0.584243,0.296551,-0.139982,-0.195106,-0.180613,-0.160209,0.284050,-0.595044,-0.667137
32.000000,-0.414930,-0.208368,0.281874,0.282511,0.173915,-0.018100,0.197103,0.239771,0.019695,-0.486205,-0.436036,0.532557,-0.634308,-0.208836,0.347943,-0.614471,0.334502,-0.153476,-0.205332,-0.194731,-0.173711,0.288814,-0.586164,-0.689259
33.000000,-0.471054,-0.241540,0.302420,0.300067,0.179306,-0.028490,0.212942,0.245074,0.012873,-0.473572,-0.499926,0.593135,-0.642025,-0.237259,0.389056,-0.646892,0.375354,-0.168509,-0.215194,-0.209430,-0.188130,0.291417,-0.574930,-0.712287
34.000000,-0.525590,-0.280636,0.324232,0.317286,0.185861,-0.038375,0.228369,0.251133,0.006782,-0.461827,-0.562978,0.654495,-0.644571,-0.273436,0.433687,-0.681651,0.418495,-0.184717,-0.224773,-0.224431,-0.203466,0.291638,-0.561858,-0.735994
35.000000,-0.577869,-0.324691,0.346659,0.333751,0.194300,-0.047557,0.243018,0.258669,0.001598,-0.451216,-0.624409,0.715686,-0.642298,-0.316155,0.480822,-0.718122,0.463157,-0.201918,-0.234128,-0.239408,-0.219758,0.290033,-0.547606,-0.760299
36.000000,-0.627503,-0.371619,0.368934,0.349253,0.204675,-0.056081,0.256736,0.267856,-0.002747,-0.441752,-0.683725,0.775883,-0.636693,-0.362803,0.529083,-0.755109,0.508607,-0.220180,-0.243295,-0.254105,-0.237061,0.287768,-0.532809,-0.785358
37.000000,-0.674253,-0.419333,0.390477,0.363727,0.216413,-0.063923,0.269513,0.278269,-0.006258,-0.433372,-0.740634,0.834450,-0.629410,-0.410968,0.577369,-0.791540,0.554206,-0.239539,-0.252288,-0.268394,-0.255399,0.285934,-0.518016,-0.811353
38.000000,-0.717974,-0.466354,0.410904,0.377191,0.228784,-0.070949,0.281411,0.289297,-0.008833,-0.426011,-0.795009,0.890963,-0.621626,-0.459106,0.624988,-0.826780,0.599381,-0.259831,-0.261103,-0.282239,-0.274759,0.285206,-0.503714,-0.838302
39.000000,-0.758629,-0.511755,0.429919,0.389695,0.241225,-0.077022,0.292513,0.300458,-0.010367,-0.419603,-0.846845,0.945182,-0.614024,-0.506368,0.671537,-0.860554,0.643631,-0.280735,-0.269732,-0.295640,-0.295110,0.285908,-0.490327,-0.866065
40.000000,-0.796271,-0.555003,0.447277,0.401293,0.253378,-0.082052,0.302896,0.311452,-0.010805,-0.414063,-0.896215,0.997007,-0.606958,-0.552316,0.716787,-0.892806,0.686558,-0.301859,-0.278164,-0.308610,-0.316417,0.288154,-0.478188,-0.894416
41.000000,-0.831028,-0.595825,0.462786,0.412040,0.265040,-0.085999,0.312630,0.322116,-0.010141,-0.409289,-0.943242,1.046437,-0.600577,-0.596740,0.760616,-0.923600,0.727874,-0.322819,-0.286396,-0.321170,-0.338645,0.291956,-0.467522,-0.923109
42.000000,-0.863069,-0.634128,0.476310,0.421985,0.276105,-0.088857,0.321773,0.332371,-0.008402,-0.405165,-0.988071,1.093534,-0.594909,-0.639559,0.802971,-0.953068,0.767410,-0.343265,-0.294427,-0.333344,-0.361765,0.297271,-0.458452,-0.951921
43.000000,-0.892588,-0.669932,0.487771,0.431177,0.286523,-0.090650,0.330379,0.342187,-0.005636,-0.401568,-1.030855,1.138400,-0.589915,-0.680764,0.843849,-0.981379,0.805091,-0.362908,-0.302264,-0.345160,-0.385746,0.304034,-0.451014,-0.980663
44.000000,-0.919785,-0.703327,0.497140,0.439662,0.296282,-0.091412,0.338494,0.351562,-0.001903,-0.398375,-1.071748,1.181161,-0.585519,-0.720395,0.883281,-1.008717,0.840921,-0.381511,-0.309916,-0.356647,-0.410564,0.312172,-0.445179,-1.009192
45.000000,-0.944857,-0.734447,0.504428,0.447486,0.305388,-0.091193,0.346161,0.360510,0.002732,-0.395465,-1.110898,1.221955,-0.581624,-0.758512,0.921317,-1.035273,0.874963,-0.398895,-0.317394,-0.367835,-0.436199,0.321610,-0.440870,-1.037402
46.000000,-0.967993,-0.763442,0.509681,0.454689,0.313860,-0.090048,0.353418,0.369051,0.008203,-0.392724,-1.148445,1.260921,-0.578126,-0.795193,0.958024,-1.061237,0.907318,-0.414926,-0.324711,-0.378753,-0.462634,0.332275,-0.437985,-1.065224
47.000000,-0.989368,-0.790471,0.512965,0.461313,0.321724,-0.088039,0.360300,0.377211,0.014441,-0.390049,-1.184521,1.298194,-0.574924,-0.830521,0.993473,-1.086791,0.938116,-0.429511,-0.331881,-0.389430,-0.489854,0.344096,-0.436400,-1.092619
48.000000,-1.009143,-0.815689,0.514368,0.467395,0.329008,-0.085232,0.366838,0.385015,0.021379,-0.387346,-1.219245,1.333902,-0.571920,-0.864578,1.027737,-1.112106,0.967499,-0.442589,-0.338918,-0.399891,-0.517852,0.357005,-0.435988,-1.119573
49.000000,-1.027465,-0.839244,0.513989,0.472973,0.335744,-0.081695,0.373059,0.392490,0.028954,-0.384532,-1.252726,1.368162,-0.569027,-0.897446,1.060886,-1.137344,0.995616,-0.454127,-0.345837,-0.410161,-0.546621,0.370936,-0.436621,-1.146090
50.000000,-1.044467,-0.861277,0.511936,0.478079,0.341962,-0.077498,0.378989,0.399660,0.037103,-0.381537,-1.285063,1.401080,-0.566165,-0.929203,1.092988,-1.162652,1.022616,-0.464115,-0.352649,-0.420262,-0.576157,0.385824,-0.438175,-1.172189
51.000000,-1.060266,-0.881915,0.508328,0.482745,0.347691,-0.072712,0.384650,0.406547,0.045765,-0.378301,-1.316344,1.432752,-0.563267,-0.959922,1.124103,-1.188163,1.048646,-0.472560,-0.359366,-0.430214,-0.606456,0.401604,-0.440531,-1.197903
52.000000,-1.074970,-0.901274,0.503283,0.487001,0.352962,-0.067406,0.390061,0.413172,0.054885,-0.374780,-1.346650,1.463257,-0.560279,-0.989669,1.154283,-1.213995,1.073846,-0.479488,-0.366000,-0.440034,-0.637517,0.418211,-0.443580,-1.223271
53.000000,-1.088671,-0.919459,0.496927,0.490875,0.357802,-0.061649,0.395242,0.419554,0.064410,-0.370937,-1.376049,1.492667,-0.557156,-1.018505,1.183576,-1.240253,1.098348,-0.484932,-0.372559,-0.449736,-0.669338,0.435579,-0.447222,-1.248337
54.000000,-1.101453,-0.936565,0.489385,0.494393,0.362236,-0.055505,0.400208,0.425711,0.074291,-0.366750,-1.404605,1.521043,-0.553866,-1.046486,1.212021,-1.267025,1.122274,-0.488941,-0.379052,-0.459335,-0.701912,0.453639,-0.451366,-1.273147
55.000000,-1.113390,-0.952676,0.480783,0.497580,0.366290,-0.049037,0.404974,0.431658,0.084481,-0.362204,-1.432372,1.548434,-0.550386,-1.073663,1.239651,-1.294385,1.145737,-0.491571,-0.385485,-0.468841,-0.735233,0.472324,-0.455931,-1.297750
56.000000,-1.124548,-0.967866,0.471244,0.500459,0.369988,-0.042303,0.409556,0.437411,0.094937,-0.357295,-1.459400,1.574884,-0.546703,-1.100079,1.266493,-1.322392,1.168837,-0.492883,-0.391864,-0.478263,-0.769290,0.491567,-0.460845,-1.322192
57.000000,-1.134984,-0.982205,0.460890,0.503052,0.373352,-0.035356,0.413965,0.442983,0.105619,-0.352026,-1.485732,1.600430,-0.542811,-1.125776,1.292573,-1.351092,1.191666,-0.492945,-0.398192,-0.487608,-0.804067,0.511298,-0.466045,-1.346515
58.000000,-1.144751,-0.995749,0.449840,0.505379,0.376403,-0.028247,0.418213,0.448387,0.116487,-0.346406,-1.511407,1.625103,-0.538714,-1.150791,1.317909,-1.380515,1.214302,-0.491831,-0.404472,-0.496882,-0.839544,0.531452,-0.471479,-1.370757
59.000000,-1.153892,-1.008554,0.438208,0.507461,0.379161,-0.021023,0.422312,0.453634,0.127502,-0.340452,-1.536459,1.648929,-0.534418,-1.175155,1.342520,-1.410678,1.236814,-0.489614,-0.410706,-0.506090,-0.875698,0.551965,-0.477101,-1.394951
60.000000,-1.162449,-1.020666,0.426104,0.509316,0.381645,-0.013727,0.426273,0.458735,0.138626,-0.334181,-1.560919,1.671934,-0.529936,-1.198900,1.366421,-1.441588,1.259261,-0.486371,-0.416893,-0.515235,-0.912498,0.572777,-0.482872,-1.419125
61.000000,-1.170458,-1.032127,0.413632,0.510960,0.383874,-0.006398,0.430103,0.463700,0.149824,-0.327617,-1.584814,1.694139,-0.525284,-1.222052,1.389627,-1.473239,1.281693,-0.482178,-0.423033,-0.524317,-0.949911,0.593830,-0.488763,-1.443299
62.000000,-1.177952,-1.042975,0.400890,0.512411,0.385863,0.000926,0.433813,0.468537,0.161058,-0.320784,-1.608168,1.715567,-0.520481,-1.244636,1.412154,-1.505616,1.304149,-0.477108,-0.429125,-0.533340,-0.987900,0.615072,-0.494750,-1.467487
63.000000,-1.184960,-1.053245,0.387973,0.513682,0.387628,0.008213,0.437409,0.473256,0.172293,-0.313708,-1.631004,1.736238,-0.515545,-1.266675,1.434016,-1.538697,1.326661,-0.471235,-0.435167,-0.542303,-1.026422,0.636454,-0.500813,-1.491699
64.000000,-1.191509,-1.062967,0.374966,0.514787,0.389185,0.015432,0.440899,0.477864,0.183495,-0.306416,-1.653342,1.756173,-0.510497,-1.288188,1.455230,-1.572449,1.349254,-0.464629,-0.441156,-0.551206,-1.065434,0.657934,-0.506940,-1.515937
65.000000,-1.197623,-1.072170,0.361948,0.515741,0.390547,0.022559,0.444289,0.482368,0.194631,-0.298932,-1.675201,1.775393,-0.505357,-1.309195,1.475811,-1.606836,1.371944,-0.457354,-0.447089,-0.560048,-1.104890,0.679474,-0.513121,-1.540199
66.000000,-1.203324,-1.080879,0.348991,0.516553,0.391727,0.029570,0.447585,0.486774,0.205671,-0.291282,-1.696597,1.793921,-0.500146,-1.329714,1.495777,-1.641817,1.394745,-0.449474,-0.452965,-0.568830,-1.144742,0.701041,-0.519352,-1.564480
67.000000,-1.208634,-1.089119,0.336161,0.517236,0.392738,0.036448,0.450791,0.491087,0.216586,-0.283490,-1.717547,1.811777,-0.494882,-1.349763,1.515146,-1.677345,1.417662,-0.441046,-0.458779,-0.577550,-1.184941,0.722608,-0.525632,-1.588769
68.000000,-1.213571,-1.096911,0.323515,0.517799,0.393589,0.043176,0.453912,0.495314,0.227350,-0.275580,-1.738066,1.828984,-0.489582,-1.369356,1.533937,-1.713371,1.440695,-0.432123,-0.464530,-0.586207,-1.225440,0.744149,-0.531959,-1.613054
69.000000,-1.218155,-1.104276,0.311102,0.518252,0.394292,0.049744,0.456952,0.499457,0.237940,-0.267571,-1.758167,1.845566,-0.484264,-1.388509,1.552170,-1.749845,1.463844,-0.422754,-0.470214,-0.594802,-1.266190,0.765645,-0.538337,-1.637322
70.000000,-1.222402,-1.111234,0.298965,0.518602,0.394856,0.056144,0.459913,0.503521,0.248333,-0.259485,-1.777865,1.861544,-0.478943,-1.407236,1.569864,-1.786715,1.487102,-0.412985,-0.475829,-0.603332,-1.307144,0.787080,-0.544769,-1.661556
71.000000,-1.226329,-1.117802,0.287142,0.518858,0.395291,0.062371,0.462798,0.507510,0.258511,-0.251338,-1.797171,1.876943,-0.473631,-1.425552,1.587039,-1.823929,1.510460,-0.402856,-0.481373,-0.611798,-1.348256,0.808438,-0.551259,-1.685740
72.000000,-1.229951,-1.123999,0.275660,0.519025,0.395604,0.068422,0.465610,0.511426,0.268455,-0.243148,-1.816097,1.891785,-0.468342,-1.443469,1.603716,-1.861435,1.533908,-0.392405,-0.486843,-0.620200,-1.389482,0.829709,-0.557813,-1.709857
73.000000,-1.233284,-1.129840,0.264547,0.519112,0.395803,0.074298,0.468351,0.515273,0.278149,-0.234930,-1.834656,1.906093,-0.463085,-1.461000,1.619914,-1.899182,1.557434,-0.381666,-0.492239,-0.628536,-1.430779,0.850881,-0.564434,-1.733892
74.000000,-1.236341,-1.135342,0.253821,0.519122,0.395895,0.080003,0.471022,0.519052,0.287577,-0.226698,-1.852857,1.919888,-0.457872,-1.478157,1.635652,-1.937120,1.581025,-0.370670,-0.497559,-0.636807,-1.472107,0.871945,-0.571126,-1.757827
75.000000,-1.239136,-1.140519,0.243500,0.519063,0.395888,0.085539,0.473624,0.522765,0.296724,-0.218464,-1.870713,1.933193,-0.452711,-1.494952,1.650951,-1.975203,1.604666,-0.359445,-0.502802,-0.645013,-1.513429,0.892895,-0.577894,-1.781649
76.000000,-1.241683,-1.145386,0.233596,0.518938,0.395787,0.090913,0.476160,0.526415,0.305578,-0.210241,-1.888231,1.946029,-0.447610,-1.511396,1.665828,-2.013383,1.628343,-0.348017,-0.507968,-0.653155,-1.554708,0.913722,-0.584740,-1.805342
77.000000,-1.243993,-1.149957,0.224119,0.518753,0.395599,0.096132,0.478630,0.530003,0.314125,-0.202040,-1.905423,1.958415,-0.442575,-1.527500,1.680302,-2.051618,1.652042,-0.336408,-0.513055,-0.661232,-1.595910,0.934419,-0.591667,-1.828894
78.000000,-1.246080,-1.154245,0.215077,0.518511,0.395328,0.101204,0.481036,0.533529,0.322353,-0.193869,-1.922298,1.970372,-0.437613,-1.543275,1.694391,-2.089867,1.675748,-0.324642,-0.518065,-0.669246,-1.637005,0.954981,-0.598675,-1.852294
79.000000,-1.247954,-1.158262,0.206475,0.518217,0.394981,0.106138,0.483378,0.536997,0.330250,-0.185739,-1.938864,1.981919,-0.432729,-1.558730,1.708110,-2.128091,1.699447,-0.312735,-0.522996,-0.677196,-1.677964,0.975401,-0.605765,-1.875529
80.000000,-1.249626,-1.162021,0.198317,0.517874,0.394563,0.110941,0.485656,0.540406,0.337807,-0.177658,-1.955129,1.993073,-0.427929,-1.573874,1.721477,-2.166255,1.723124,-0.300707,-0.527851,-0.685085,-1.718760,0.995672,-0.612937,-1.898591
81.000000,-1.251108,-1.165533,0.190606,0.517486,0.394077,0.115622,0.487873,0.543757,0.345014,-0.169634,-1.971102,2.003853,-0.423216,-1.588718,1.734507,-2.204325,1.746768,-0.288574,-0.532629,-0.692912,-1.759368,1.015791,-0.620191,-1.921472
82.000000,-1.252409,-1.168810,0.183341,0.517056,0.393529,0.120189,0.490029,0.547051,0.351865,-0.161673,-1.986791,2.014275,-0.418595,-1.603270,1.747213,-2.242270,1.770364,-0.276348,-0.537331,-0.700680,-1.799766,1.035750,-0.627523,-1.944163
83.000000,-1.253539,-1.171862,0.176520,0.516587,0.392923,0.124650,0.492123,0.550290,0.358354,-0.153783,-2.002202,2.024354,-0.414069,-1.617537,1.759612,-2.280064,1.793902,-0.264045,-0.541959,-0.708388,-1.839933,1.055545,-0.634933,-1.966659
84.000000,-1.254508,-1.174700,0.170140,0.516083,0.392263,0.129013,0.494158,0.553473,0.364478,-0.145970,-2.017344,2.034107,-0.409641,-1.631529,1.771715,-2.317679,1.817369,-0.251675,-0.546513,-0.716039,-1.879852,1.075171,-0.642418,-1.988954
85.000000,-1.255324,-1.177333,0.164194,0.515547,0.391553,0.133283,0.496133,0.556602,0.370237,-0.138239,-2.032222,2.043548,-0.405313,-1.645254,1.783536,-2.355094,1.840756,-0.239249,-0.550996,-0.723634,-1.919506,1.094624,-0.649975,-2.011044
86.000000,-1.255997,-1.179772,0.158677,0.514980,0.390797,0.137466,0.498050,0.559676,0.375632,-0.130595,-2.046844,2.052691,-0.401089,-1.658717,1.795086,-2.392287,1.864053,-0.226777,-0.555409,-0.731173,-1.958879,1.113898,-0.657599,-2.032926
87.000000,-1.256533,-1.182025,0.153578,0.514387,0.389999,0.141566,0.499908,0.562697,0.380668,-0.123044,-2.061215,2.061548,-0.396969,-1.671928,1.806378,-2.429240,1.887250,-0.214268,-0.559753,-0.738658,-1.997958,1.132990,-0.665289,-2.054595
88.000000,-1.256942,-1.184102,0.148886,0.513770,0.389161,0.145589,0.501709,0.565664,0.385352,-0.115589,-2.075342,2.070133,-0.392956,-1.684892,1.817422,-2.465936,1.910339,-0.201729,-0.564030,-0.746091,-2.036731,1.151897,-0.673039,-2.076051
89.000000,-1.257230,-1.186010,0.144587,0.513131,0.388288,0.149537,0.503452,0.568579,0.389692,-0.108235,-2.089230,2.078458,-0.389051,-1.697617,1.828229,-2.502360,1.933313,-0.189167,-0.568243,-0.753472,-2.075188,1.170615,-0.680846,-2.097291
90.000000,-1.257405,-1.187757,0.140667,0.512473,0.387383,0.153413,0.505138,0.571441,0.393700,-0.100985,-2.102886,2.086533,-0.385255,-1.710108,1.838808,-2.538500,1.956164,-0.176588,-0.572393,-0.760804,-2.113320,1.189140,-0.688706,-2.118315
91.000000,-1.257473,-1.189353,0.137111,0.511799,0.386449,0.157219,0.506767,0.574251,0.397388,-0.093843,-2.116314,2.094371,-0.381569,-1.722372,1.849169,-2.574344,1.978886,-0.163999,-0.576483,-0.768087,-2.151118,1.207471,-0.696613,-2.139122
92.000000,-1.257441,-1.190803,0.133901,0.511111,0.385489,0.160957,0.508341,0.577010,0.400770,-0.086810,-2.129520,2.101980,-0.377993,-1.734415,1.859321,-2.609881,2.001474,-0.151403,-0.580513,-0.775322,-2.188575,1.225604,-0.704563,-2.159712
93.000000,-1.257316,-1.192116,0.131018,0.510412,0.384506,0.164628,0.509858,0.579716,0.403862,-0.079889,-2.142510,2.109372,-0.374528,-1.746242,1.869272,-2.645104,2.023921,-0.138806,-0.584487,-0.782511,-2.225685,1.243538,-0.712552,-2.180085
94.000000,-1.257103,-1.193298,0.128444,0.509703,0.383503,0.168234,0.511320,0.582372,0.406680,-0.073083,-2.155287,2.116555,-0.371173,-1.757860,1.879030,-2.680005,2.046224,-0.126212,-0.588405,-0.789656,-2.262443,1.261271,-0.720574,-2.200242
95.000000,-1.256807,-1.194356,0.126161,0.508989,0.382482,0.171775,0.512727,0.584977,0.409240,-0.066393,-2.167858,2.123539,-0.367928,-1.769274,1.888602,-2.714578,2.068377,-0.113624,-0.592271,-0.796757,-2.298844,1.278800,-0.728624,-2.220185
96.000000,-1.256435,-1.195296,0.124149,0.508270,0.381447,0.175254,0.514079,0.587532,0.411559,-0.059820,-2.180226,2.130331,-0.364793,-1.780489,1.897997,-2.748818,2.090378,-0.101046,-0.596086,-0.803815,-2.334885,1.296125,-0.736697,-2.239913
97.000000,-1.255991,-1.196125,0.122388,0.507549,0.380399,0.178671,0.515377,0.590036,0.413653,-0.053364,-2.192397,2.136940,-0.361767,-1.791511,1.907220,-2.782719,2.112224,-0.088480,-0.599852,-0.810831,-2.370563,1.313244,-0.744789,-2.259430
98.000000,-1.255481,-1.196848,0.120862,0.506828,0.379341,0.182027,0.516621,0.592491,0.415537,-0.047028,-2.204375,2.143374,-0.358848,-1.802343,1.916278,-2.816279,2.133910,-0.075929,-0.603571,-0.817807,-2.405875,1.330157,-0.752894,-2.278736
99.000000,-1.254909,-1.197470,0.119551,0.506110,0.378276,0.185323,0.517812,0.594896,0.417229,-0.040810,-2.216165,2.149639,-0.356036,-1.812992,1.925176,-2.849495,2.155435,-0.063397,-0.607244,-0.824743,-2.440819,1.346863,-0.761006,-2.297834
