x,y,z,resultado_esperado
2.060334097793128372e+00,1.210378856633129274e+00,4.683135209569602608e+00,0.000000000000000000e+00
1.720941881285998676e+00,2.601151257178760279e+00,3.373226267959746227e+00,0.000000000000000000e+00
2.532826439597781754e+00,3.691463350105022023e+00,1.886684293200293849e+00,0.000000000000000000e+00
2.004505992535114522e+00,3.309008136293247304e+00,3.425838981209367251e+00,0.000000000000000000e+00
1.205597535236885065e+00,4.744537166954122753e+00,2.917086080044397178e+00,0.000000000000000000e+00
1.381531170744008996e+00,3.762798827078919661e+00,2.444833467539523575e+00,0.000000000000000000e+00
4.316192467638396479e+00,2.842460602984343332e+00,3.504001021933866422e+00,0.000000000000000000e+00
1.632947586881488000e+00,2.540344281506681234e+00,3.089825294269430422e+00,0.000000000000000000e+00
2.135461829356123609e+00,3.784175566980024552e+00,3.904797057659861181e+00,0.000000000000000000e+00
2.866742063008729247e+00,1.928347906440687209e+00,2.959087091620904442e+00,0.000000000000000000e+00
4.003018879999903135e+00,3.209473597651067767e+00,1.649810592290865907e+00,0.000000000000000000e+00
3.281741258497472113e+00,3.445831052370008862e+00,3.782018316831987637e+00,0.000000000000000000e+00
3.031302068731345223e+00,3.267458027516603636e+00,2.247563334885250619e+00,0.000000000000000000e+00
3.817886540188880851e+00,1.934664532406034310e+00,4.450539321787606362e+00,0.000000000000000000e+00
1.583457808222140439e+00,3.938168968570819217e+00,1.354365991382473711e+00,0.000000000000000000e+00
3.681427163369891620e+00,1.136393953096445752e+00,3.202036988495823078e+00,0.000000000000000000e+00
2.467654666550388676e+00,4.029939068459733598e+00,2.487692014333954926e+00,0.000000000000000000e+00
2.865912272342058031e+00,4.480225266032599407e+00,3.697153979611879304e+00,0.000000000000000000e+00
2.908150897193466644e+00,2.079455620800029880e+00,3.669430104910988977e+00,0.000000000000000000e+00
2.873446901120286778e+00,3.504898783098139958e+00,1.512221531389573270e+00,0.000000000000000000e+00
3.450191386020721396e+00,5.115005001106226246e+00,2.510472952857231821e+00,0.000000000000000000e+00
3.281954444076177424e+00,1.364779361755186882e+00,3.030551061296945292e+00,0.000000000000000000e+00
4.479864312899579204e+00,2.562823414138844846e+00,2.770768202699479321e+00,0.000000000000000000e+00
3.319857705374577250e+00,2.535246617813702308e+00,3.255543304788939274e+00,0.000000000000000000e+00
3.809337451195674795e+00,2.644854812196469229e+00,3.593100451560634845e+00,0.000000000000000000e+00
6.488098820740479056e+00,3.237420600764848277e+00,4.517084215411601988e+00,0.000000000000000000e+00
2.698059596630703272e+00,4.414523684423491190e+00,2.261548902119041138e+00,0.000000000000000000e+00
3.774388613976070950e+00,1.778272987971704078e+00,6.292576093373223323e+00,0.000000000000000000e+00
3.109232431170561917e+00,1.422981777282221971e+00,3.343341612688348619e+00,0.000000000000000000e+00
1.850690966224363132e+00,3.795318911532828299e+00,2.454832351938750712e+00,0.000000000000000000e+00
3.418674058727081189e+00,3.131640603572694026e+00,3.944768640228785372e+00,0.000000000000000000e+00
2.395257741620019587e+00,5.030373970827280772e+00,2.716066308049155165e+00,0.000000000000000000e+00
2.901040429080815830e+00,4.054857438162040140e+00,2.254966106864792152e+00,0.000000000000000000e+00
3.367560487746685816e+00,3.363139698416019563e+00,3.350020681412264167e+00,0.000000000000000000e+00
3.170802499477885394e+00,3.332055114005419760e+00,2.226472567892043841e+00,0.000000000000000000e+00
2.289598637889916688e+00,3.624441376868603015e+00,2.853371565654568620e+00,0.000000000000000000e+00
2.475356956011793397e+00,3.877299980551156544e+00,2.915055030058319119e+00,0.000000000000000000e+00
2.453571325476334053e+00,3.036554615536549928e+00,3.852733390556459803e+00,0.000000000000000000e+00
2.916247661755950737e+00,1.760664850258412573e+00,3.612724237564528096e+00,0.000000000000000000e+00
1.610088007355737316e+00,4.545304168367345632e+00,3.056457387244771340e+00,0.000000000000000000e+00
3.761436907756690484e+00,4.555274320875115635e+00,3.606441256068257495e+00,0.000000000000000000e+00
2.444621086521881814e+00,2.080751737244469268e+00,4.480802408098509382e+00,0.000000000000000000e+00
2.624063436001076166e+00,2.380261501514556066e+00,3.687174373308639286e+00,0.000000000000000000e+00
4.127403056253259095e+00,1.785152017679215275e+00,3.282858345650815579e+00,0.000000000000000000e+00
2.229870978737872100e+00,2.896525985513419332e+00,1.769628369397826972e+00,0.000000000000000000e+00
4.023145175988721789e+00,2.263321088007095305e+00,3.823730449100599227e+00,0.000000000000000000e+00
3.742120336691894256e+00,3.172984253051726711e+00,3.028423987493220171e+00,0.000000000000000000e+00
3.183278315988808060e+00,3.439022319802776284e+00,4.889947270150457825e+00,0.000000000000000000e+00
2.851338100989730062e+00,4.193340043822134433e+00,3.655147230825572802e+00,0.000000000000000000e+00
4.011154157542759613e+00,1.965962491213549601e+00,3.026145768722421359e+00,0.000000000000000000e+00
3.817892304688057514e+00,3.723633653005433697e+00,3.339112319926234473e+00,0.000000000000000000e+00
3.624940961378148696e+00,2.699100249428088905e+00,3.180335669261195708e+00,0.000000000000000000e+00
2.652528038637226970e+00,2.911309413475924313e+00,3.717693240957867129e+00,0.000000000000000000e+00
2.950263770583969158e+00,5.489477660204317822e+00,4.363806098068248041e-01,0.000000000000000000e+00
2.741271259508200941e+00,3.297874502544795305e+00,3.518616273636080205e+00,0.000000000000000000e+00
2.798730567351990217e+00,1.632057350643346005e+00,1.229673155404659823e+00,0.000000000000000000e+00
3.049910074736925658e+00,2.820131310289183180e+00,2.972075225806471543e+00,0.000000000000000000e+00
1.699447162884349494e+00,2.056744109400900467e+00,2.233057250854723286e+00,0.000000000000000000e+00
5.209938779888585891e+00,1.364975323615965186e+00,3.427606116156023397e+00,0.000000000000000000e+00
3.676058211972192957e+00,3.217525698703658676e+00,4.370678464977006961e+00,0.000000000000000000e+00
4.351504343700411503e+00,2.176901815221359726e+00,3.866624782886159739e+00,0.000000000000000000e+00
3.367002004040364760e+00,2.283924054438251972e+00,3.565884469424241310e+00,0.000000000000000000e+00
4.279918624818911610e+00,2.433485013333596569e+00,4.210182616259764643e+00,0.000000000000000000e+00
3.387607228641355217e+00,2.488959118495754907e+00,1.856147001109334838e+00,0.000000000000000000e+00
1.102906354211501316e+01,8.560363105288660179e+00,1.031593207523795286e+01,1.000000000000000000e+00
8.078986888750041118e+00,1.051074144377544606e+01,8.632080170667652652e+00,1.000000000000000000e+00
7.705022537763309032e+00,8.354431108145915275e+00,9.323069956835478678e+00,1.000000000000000000e+00
1.040191939500530971e+01,7.096744043916888955e+00,9.097949135879469296e+00,1.000000000000000000e+00
8.311528854949477463e+00,9.409127077684555474e+00,8.471030236495002086e+00,1.000000000000000000e+00
7.750436989370173002e+00,9.468726409063073390e+00,1.035531472303180855e+01,1.000000000000000000e+00
7.089657207429482355e+00,8.019511094046132271e+00,8.652806270848810044e+00,1.000000000000000000e+00
1.055987066118545314e+01,7.333502303944176681e+00,9.326097585741145224e+00,1.000000000000000000e+00
7.991004093964428456e+00,9.782127548179833099e+00,7.898242410903271171e+00,1.000000000000000000e+00
8.755763196421479932e+00,9.551152279377717491e+00,7.138036797974724124e+00,1.000000000000000000e+00
1.032062793214760177e+01,1.087233453459106869e+01,8.086895841035088850e+00,1.000000000000000000e+00
9.242410415293189629e+00,8.136991101272622373e+00,9.062408302376834257e+00,1.000000000000000000e+00
1.051579912925517668e+01,9.544545987097725614e+00,9.076496409068974813e+00,1.000000000000000000e+00
9.327372775021821383e+00,8.469822341977295110e+00,8.985831271296463640e+00,1.000000000000000000e+00
1.047355090863379878e+01,9.428819508962105189e+00,7.998443442685380766e+00,1.000000000000000000e+00
7.419497161077815761e+00,8.769247555637322833e+00,8.863928376790910946e+00,1.000000000000000000e+00
8.618265025202196838e+00,9.062945246355484485e+00,9.163933850313867424e+00,1.000000000000000000e+00
8.346126959520059785e+00,9.840796510605425595e+00,1.011974283968108068e+01,1.000000000000000000e+00
8.293178330845233148e+00,8.424569784738604739e+00,1.051546542350076940e+01,1.000000000000000000e+00
1.025159687076002157e+01,9.255278474553248813e+00,8.231844499425960748e+00,1.000000000000000000e+00
8.722422232146699983e+00,9.208917227850314191e+00,8.932857465514123518e+00,1.000000000000000000e+00
9.704245728140014293e+00,7.361996534714597473e+00,9.130883605613524523e+00,1.000000000000000000e+00
8.291934412490329365e+00,8.970765484246047805e+00,8.484764726572397109e+00,1.000000000000000000e+00
9.262796918271483548e+00,9.198640520560971368e+00,8.923492979065462904e+00,1.000000000000000000e+00
1.023237348366604493e+01,9.512601529455917415e+00,8.212807030323640234e+00,1.000000000000000000e+00
1.090690806612849073e+01,9.138707000169471684e+00,8.628940951370438484e+00,1.000000000000000000e+00
9.126918137407617593e+00,9.546855664019140875e+00,1.010595830968082609e+01,1.000000000000000000e+00
7.591412713438285387e+00,7.778923746388004545e+00,8.628300366177668934e+00,1.000000000000000000e+00
8.540080958679066470e+00,8.479882322327323863e+00,9.643760216796284368e+00,1.000000000000000000e+00
7.547881523046783059e+00,1.009383891886554174e+01,8.438437371279404076e+00,1.000000000000000000e+00
9.083419634552935662e+00,9.276172876784134047e+00,8.760464344421572846e+00,1.000000000000000000e+00
1.070059512261091150e+01,7.196531719704339913e+00,1.032267238576510415e+01,1.000000000000000000e+00
8.266345964259061319e+00,8.179347982910750048e+00,8.017173022751597600e+00,1.000000000000000000e+00
9.467934413448091391e+00,1.002251184441155374e+01,8.151120399198189759e+00,1.000000000000000000e+00
9.813470139865154707e+00,9.243913267779419130e+00,9.116369974683356858e+00,1.000000000000000000e+00
9.695836932894493998e+00,9.403893744717343850e+00,9.461579046235971902e+00,1.000000000000000000e+00
8.151128948776600325e+00,9.501755048581387086e+00,7.594266690797314645e+00,1.000000000000000000e+00
8.945178934291934780e+00,1.026385456139112051e+01,8.729389201020515188e+00,1.000000000000000000e+00
8.773551901691149624e+00,8.743746351656175975e+00,9.678459439885868321e+00,1.000000000000000000e+00
8.038968145472713545e+00,8.955389674918057707e+00,8.376051263172755057e+00,1.000000000000000000e+00
7.928511363856809879e+00,9.837734518449254395e+00,7.921038553157528028e+00,1.000000000000000000e+00
9.726808893659246280e+00,8.732482578428282238e+00,9.782972349479182483e+00,1.000000000000000000e+00
8.652789448774036885e+00,8.336084353720053741e+00,7.493410506858256603e+00,1.000000000000000000e+00
1.061045161119157676e+01,9.458805462566074240e+00,8.095473182554783875e+00,1.000000000000000000e+00
1.099122969863491228e+01,8.733315744055952123e+00,9.031332748542595823e+00,1.000000000000000000e+00
9.572350581591464902e+00,7.674190728883412582e+00,9.292289643003055488e+00,1.000000000000000000e+00
9.278678468324002893e+00,8.022239894665680993e+00,1.031444617406818054e+01,1.000000000000000000e+00
8.206574418418281169e+00,8.385336114952018249e+00,9.534035876047203928e+00,1.000000000000000000e+00
8.240546693552664337e+00,8.632560233168957708e+00,9.314692975438255473e+00,1.000000000000000000e+00
8.780186097815066759e+00,8.329543238579688591e+00,1.091194129325270978e+01,1.000000000000000000e+00
9.000671012405783600e+00,1.047510803198997564e+01,8.751706156628065614e+00,1.000000000000000000e+00
9.504505270968815367e+00,8.806454226773272609e+00,1.104239348383425856e+01,1.000000000000000000e+00
6.961946362774160235e+00,8.616970595915521614e+00,9.500648223954074822e+00,1.000000000000000000e+00
8.056920460095261305e+00,9.375642115728332726e+00,8.001907912171832393e+00,1.000000000000000000e+00
1.018532699014897247e+01,9.133816060514277524e+00,9.370257072723273239e+00,1.000000000000000000e+00
1.180460843745105493e+01,7.039982744465644871e+00,1.131221517365691653e+01,1.000000000000000000e+00
8.047945015488373599e+00,9.076075928418507743e+00,7.391212822893436396e+00,1.000000000000000000e+00
8.767891733355622108e+00,1.003755644135180702e+01,9.574849802781074004e+00,1.000000000000000000e+00
8.370559160239208651e+00,7.896761898522838941e+00,8.199470220827796751e+00,1.000000000000000000e+00
8.174913197195898817e+00,9.733586698767492607e+00,9.073067969708802138e+00,1.000000000000000000e+00
8.494655283755774278e+00,9.447131981280442403e+00,6.998351417915333883e+00,1.000000000000000000e+00
9.752997178369110287e+00,9.868170903962385054e+00,9.027987977681119602e+00,1.000000000000000000e+00
8.014830719042780771e+00,9.575301460633506068e+00,8.066576982572811971e+00,1.000000000000000000e+00
7.032281230841389785e+00,1.084248665291113056e+01,8.180286711226596452e+00,1.000000000000000000e+00
9.441574948306000081e+00,5.256902674762566896e+00,1.091062285639499585e+01,1.000000000000000000e+00
9.963276956353734448e+00,8.104847280795683062e+00,1.054670590566834498e+01,1.000000000000000000e+00
8.714635763914264643e+00,9.022514942086253598e+00,9.200525753482896363e+00,1.000000000000000000e+00
9.498697062701893401e+00,7.653575550562367269e+00,9.904338760577736878e+00,1.000000000000000000e+00
7.259419353550872422e+00,1.007987432034752118e+01,8.124759510081613456e+00,1.000000000000000000e+00
1.038623237435424151e+01,8.324236343217123135e+00,1.034448631377379257e+01,1.000000000000000000e+00
1.011304589997445191e+01,9.325156215099598356e+00,1.012982270871692236e+01,1.000000000000000000e+00
1.138005555593166918e+01,6.142384412011092643e+00,9.126061019710295596e+00,1.000000000000000000e+00
9.398023580065286708e+00,7.894807215732594585e+00,1.034789171520442075e+01,1.000000000000000000e+00
9.050384231366130905e+00,7.587085991751906455e+00,9.450644439833386201e+00,1.000000000000000000e+00
1.011478475865954962e+01,7.856309176932446903e+00,9.845404240749338953e+00,1.000000000000000000e+00
9.933553786432344879e+00,9.053809601330639723e+00,8.703402478313439161e+00,1.000000000000000000e+00
7.826331395319046536e+00,1.038340783556576774e+01,9.518047523455734904e+00,1.000000000000000000e+00
8.140479576752595037e+00,8.750898951779648272e+00,1.005847756780128499e+01,1.000000000000000000e+00
8.151735879029478937e+00,9.399268663250227362e+00,7.523603086565267439e+00,1.000000000000000000e+00
9.649818804521371973e+00,8.444553811551962497e+00,9.442422474068708382e+00,1.000000000000000000e+00
1.093451992691629471e+01,7.931537323891117097e+00,1.042560579766940876e+01,1.000000000000000000e+00
8.190379993038977346e+00,9.829570902394364040e+00,1.015238411616078729e+01,1.000000000000000000e+00
8.689346023037355593e+00,9.588166605519639063e+00,7.460573816943459668e+00,1.000000000000000000e+00
8.289844117208057028e+00,8.423507109453510111e+00,1.035590165468592261e+01,1.000000000000000000e+00
9.103158869459354818e+00,9.479363158642701848e+00,1.014882718998133448e+01,1.000000000000000000e+00
9.628496799806180562e+00,1.073886401722459105e+01,8.819132054862789616e+00,1.000000000000000000e+00
9.100251221206907104e+00,7.158247303123420835e+00,8.746003522859311374e+00,1.000000000000000000e+00
9.464657244306978967e+00,9.207866231033872140e+00,9.389604348576119364e+00,1.000000000000000000e+00
8.721486476186143477e+00,9.720721159230665265e+00,8.978126076698645264e+00,1.000000000000000000e+00
1.077667097595349333e+01,9.549968651847102308e+00,9.704253146466676583e+00,1.000000000000000000e+00
7.913862436551678314e+00,6.830094130841793287e+00,9.617774016944611759e+00,1.000000000000000000e+00
9.451684981001234220e+00,9.615743854177630112e+00,9.052769440999187012e+00,1.000000000000000000e+00
1.017802036684658162e+01,9.029369312974436568e+00,8.365313774099048416e+00,1.000000000000000000e+00
8.300098447298967841e+00,1.068015193648680494e+01,9.110071969113933577e+00,1.000000000000000000e+00
9.431005274126906812e+00,7.373256876841216112e+00,9.659807175225200382e+00,1.000000000000000000e+00
8.183082015657475949e+00,9.499466337440569674e+00,9.240114755041954453e+00,1.000000000000000000e+00
8.630871597379121241e+00,7.464403680005555763e+00,9.292070923865505705e+00,1.000000000000000000e+00
8.772476286456976524e+00,8.007064578919797171e+00,1.033104854934892991e+01,1.000000000000000000e+00
9.003253800315151878e+00,8.685620074888491970e+00,6.583929568523055664e+00,1.000000000000000000e+00
7.960312313039507259e+00,7.059584990123211945e+00,6.805061217542726304e+00,1.000000000000000000e+00
