x,y,z,clase
8.903794,8.633713,10.777472,1
9.872840,9.906490,8.487196,1
8.359745,8.235029,8.303401,1
8.768462,8.092067,8.606774,1
8.349302,8.932783,8.033535,1
10.753418,8.257834,10.556079,1
8.507692,8.842916,9.557879,1
10.729223,9.873786,8.048996,1
10.009264,10.726836,10.226005,1
8.152449,9.537835,8.052307,1
8.435646,8.106781,8.162037,1
8.113236,8.419602,8.267103,1
9.950254,9.381043,8.404182,1
9.144323,8.545131,10.748813,1
8.519936,12.255396,8.273315,1
9.062924,8.213388,9.754278,1
8.486096,8.158882,8.855482,1
8.330132,8.446930,8.925181,1
8.453241,10.119455,9.076480,1
8.102036,8.247450,8.427544,1
9.146682,8.473859,9.698643,1
8.157247,8.272895,8.680496,1
8.002737,9.084386,8.066341,1
8.675001,9.039654,10.601869,1
8.505138,8.682622,11.337700,1
8.057850,8.448847,8.087920,1
10.104793,8.717898,9.899829,1
8.555288,8.196982,8.164229,1
8.932257,8.949453,10.343397,1
8.793419,8.021735,9.427234,1
8.255429,8.023282,8.097012,1
8.025294,8.625188,10.720689,1
8.466939,8.167824,8.922350,1
8.346381,8.885348,8.691961,1
8.022685,9.001788,8.589467,1
11.210464,8.900694,10.258130,1
8.373534,10.393923,10.042513,1
10.621465,8.347689,8.069781,1
8.880680,8.006694,8.359933,1
8.597087,10.523660,12.418165,1
8.660111,8.178506,9.351102,1
9.799175,8.306090,8.053575,1
8.962301,8.064250,8.511955,1
8.122104,9.618958,8.249654,1
8.914263,9.414330,9.233662,1
10.686524,8.027788,8.047718,1
8.366466,8.080094,11.879305,1
8.612347,8.849304,8.515023,1
12.129753,8.340650,8.737332,1
8.044735,8.536417,8.817357,1
8.180339,9.076174,8.333290,1
9.020146,8.185432,11.813400,1
9.108764,8.230395,9.869680,1
8.074339,9.583275,8.460784,1
8.434325,8.735052,9.381736,1
8.901802,12.508751,9.401597,1
11.488872,8.396480,9.058831,1
8.279615,8.613087,9.829139,1
8.102641,8.488042,8.629760,1
9.406034,13.424829,8.489619,1
3.056957,8.805011,8.285714,2
2.161763,8.671870,8.392480,2
2.500552,8.927071,9.061079,2
4.930301,10.340799,8.380243,2
4.491258,9.863779,8.318121,2
2.188319,9.745682,9.357682,2
2.039248,8.514456,8.306309,2
3.225772,8.300174,8.035656,2
2.863069,8.258755,8.764739,2
4.726130,11.130575,8.886149,2
2.746357,8.050061,8.142641,2
2.499204,8.029711,8.087245,2
3.601464,8.036310,8.594149,2
2.317394,8.538276,8.706696,2
3.119745,10.820084,8.368317,2
2.022678,8.750113,8.383538,2
2.173028,8.368796,9.622244,2
2.688623,10.431638,8.128351,2
2.983493,9.068455,8.312412,2
2.814496,10.610722,8.583189,2
2.628837,8.594445,9.545424,2
2.740755,8.195979,9.670174,2
2.271451,8.926676,8.740932,2
3.765200,8.028984,8.671178,2
2.326653,8.053785,8.478562,2
4.656309,9.370218,8.068505,2
2.852015,9.284729,11.349901,2
2.022803,8.073273,10.671939,2
2.287228,8.552689,9.775452,2
2.939745,11.252920,8.544362,2
5.109398,10.102595,13.098398,2
4.292472,10.677262,8.771640,2
2.035562,9.498607,8.259535,2
2.239263,8.556388,8.630950,2
5.528940,8.293886,8.837283,2
3.138084,8.016810,9.053253,2
2.145706,9.714853,9.554725,2
2.169841,8.898630,11.147882,2
2.825142,8.290553,9.682053,2
2.386844,8.073253,8.149422,2
2.086117,8.264771,9.320320,2
2.055563,9.057130,8.155835,2
2.133993,8.272154,9.676992,2
3.976764,8.054780,8.186745,2
3.191464,8.052358,8.334647,2
4.232237,9.339193,10.389520,2
2.578682,8.411854,8.427747,2
5.018566,10.471277,9.427933,2
2.213107,8.202473,9.835582,2
2.498972,11.373234,8.195761,2
4.319488,8.682877,8.881377,2
2.664978,8.836885,8.714329,2
2.101283,8.599946,8.498468,2
2.029091,9.945356,9.936394,2
2.612575,8.690184,8.548299,2
2.426092,8.244291,8.046834,2
2.071070,8.460572,8.690481,2
2.075544,12.198447,9.531297,2
4.372562,8.740222,9.274637,2
2.050594,9.680860,8.019477,2
2.338889,9.016002,9.510539,2
2.736511,8.051103,9.035485,2
3.926117,8.040382,8.744181,2
2.531318,8.105520,8.475422,2
3.169286,9.431551,8.321018,2
3.172796,9.251404,8.241475,2
2.440112,10.324785,8.479582,2
2.258410,8.589754,8.036902,2
2.778516,9.333502,8.231075,2
2.371379,8.461816,9.709206,2
4.224115,8.604797,9.799425,2
3.026540,10.429339,8.044008,2
2.941892,8.050638,8.786951,2
3.049730,8.426685,10.573338,2
3.017599,8.493294,8.500670,2
2.059837,8.416127,9.760492,2
2.210786,8.660532,9.130383,2
2.262433,8.892392,8.318512,2
3.315078,8.016504,8.021424,2
3.019117,8.496823,8.307787,2
5.963617,8.149834,8.348474,2
4.231454,8.305949,8.734876,2
2.170549,12.323087,9.024355,2
2.170715,8.236373,8.176344,2
2.125829,8.790439,8.489835,2
2.521037,10.455953,9.003959,2
7.756577,10.559484,9.015518,2
3.264781,9.364335,8.153257,2
5.441908,8.469605,8.875309,2
3.768052,8.355440,9.160229,2
4.803073,10.056286,8.147795,2
3.044188,8.636676,9.197098,2
2.209548,8.009555,9.092057,2
3.375090,8.564608,11.264231,2
3.554980,8.528137,10.007519,2
3.021008,8.975510,9.104762,2
4.951651,9.069014,8.154309,2
3.044841,8.971813,8.369352,2
2.045487,11.130258,8.554159,2
6.041457,8.016419,8.424751,2
